sequence_id	length	standard_aa_only	duplicate_candidate	generation_cap_warning	low_complexity_warning	composition_outlier_checked	composition_js_divergence	composition_js_threshold	composition_outlier_warning	training_match_checked	exact_training_match	training_match_ids	reference_match_checked	exact_reference_match	reference_match_ids	qc_pass	qc_reasons	domain_status	domain_score	domain_evalue	model_coverage	domain_pass	constraint_score	conserved_sites_total	conserved_sites_covered	conserved_sites_matched	conservation_coverage	conservation_score	closest_reference_id	closest_reference_pident	closest_reference_effective_identity	closest_reference_query_coverage	closest_reference_target_coverage	closest_reference_evalue	novelty_score	uniqueness_score	nearest_candidate_id	nearest_candidate_identity	nearest_candidate_distance	sequence_evalue	sequence_score	hmm_from	hmm_to	alignment_from	alignment_to
gen_12	97	True	False	False	False	True	0.1376144687	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	not_detected	0	1000	0	False	0	23	18	3	0.7826086957	0.1304347826	ref_000018	0.31746	0.2061853608	0.6494845361	0.6494845361	62	0.7938146392	0.6960083518	gen_110	0.5463904124	0.4536095876						
gen_13	89	True	False	False	False	True	0.1343356679	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	detected	44.5	1.2e-13	0.9487179487	False	0.1576816535	23	20	7	0.8695652174	0.3043478261	ref_000219	0.31818	0.2359537079	0.7415730337	0.7764705882	0.59	0.7640462921	0.9168419174	gen_139	0.4725274725	0.5274725275	8.4e-14	45	2	38	24	60
gen_15	102	True	False	False	False	True	0.1110982315	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	not_detected	0	1000	0	False	0	23	18	5	0.7826086957	0.2173913043	ref_001213	0.32075	0.1287859848	0.5196078431	0.4015151515	361	0.8712140152	0.5729583701	gen_36	0.85294	0.14706						
gen_16	95	True	False	False	False	True	0.1569440901	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	not_detected	0	1000	0	False	0	23	18	6	0.7826086957	0.2608695652	ref_000373	0.31111	0.1372544118	0.4736842105	0.4411764706	15	0.8627455882	0.5962874273	gen_156	0.8210498947	0.1789501053						
gen_17	115	True	False	False	False	True	0.100230442	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	not_detected	0	1000	0	False	0	23	17	6	0.7391304348	0.2608695652	ref_000138	0.46667	0.12174	0.2608695652	0.3260869565	175	0.87826	0.5982276425	gen_57	0.75652	0.24348						
gen_18	126	True	False	False	False	True	0.1058285233	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	not_detected	0	1000	0	False	0	23	20	6	0.8695652174	0.2608695652	ref_000977	0.36	0.1333333333	0.3968253968	0.3703703704	776	0.8666666667	0.6830038445	gen_159	0.62698	0.37302						
gen_19	98	True	False	False	False	True	0.1287676816	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	not_detected	0	1000	0	False	0	23	18	7	0.7826086957	0.3043478261	ref_000240	0.30769	0.204080102	0.6632653061	0.7738095238	251	0.795919898	0.5842558553	gen_156	0.7857183673	0.2142816327						
gen_20	81	True	False	False	False	True	0.1165662109	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	not_detected	0	1000	0	False	0	23	18	5	0.7826086957	0.2173913043	ref_000296	0.35938	0.2839545679	0.7901234568	0.8767123288	3.3	0.7160454321	0.8689112841	gen_99	0.3508785088	0.6491214912						
gen_21	109	True	False	False	False	True	0.1220818066	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	not_detected	0	1000	0	False	0	23	18	8	0.7826086957	0.347826087	ref_000649	0.29688	0.1743148624	0.5871559633	0.7356321839	161	0.8256851376	0.599247665	gen_111	0.6636342727	0.3363657273						
gen_22	112	True	False	False	False	True	0.1085819535	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	not_detected	0	1000	0	False	0	23	18	6	0.7826086957	0.2608695652	ref_000138	0.41379	0.1071420536	0.2589285714	0.3152173913	773	0.8928579464	0.6287885841	gen_52	0.6964271429	0.3035728571						
gen_23	99	True	False	False	False	True	0.07532163823	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	not_detected	0	1000	0	False	0	23	18	5	0.7826086957	0.2173913043	ref_000566	0.31818	0.21212	0.6666666667	0.8461538462	650	0.78788	0.7517956338	gen_69	0.6893196117	0.3106803883						
gen_24	105	True	False	False	False	True	0.1505671167	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	not_detected	0	1000	0	False	0	23	18	6	0.7826086957	0.2608695652	ref_000812	0.35897	0.1333317143	0.3714285714	0.4382022472	67	0.8666682857	0.5905273452	gen_36	0.78095	0.21905						
gen_25	84	True	False	False	False	True	0.06432679015	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	not_detected	0	1000	0	False	0	23	19	6	0.8260869565	0.2608695652	ref_000380	0.41667	0.1630447826	0.4285714286	0.3913043478	228	0.8369552174	0.9395136409	gen_9	0.8690495238	0.1309504762						
gen_26	102	True	False	False	False	True	0.1254397985	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	not_detected	0	1000	0	False	0	23	17	7	0.7391304348	0.3043478261	ref_000319	0.35294	0.1176466667	0.3333333333	0.3736263736	61	0.8823533333	0.665624115	gen_86	0.6078417647	0.3921582353						
gen_27	104	True	False	False	False	True	0.05461300563	0.06061925601	False	True	False	[]	True	False	[]	True		not_detected	0	1000	0	False	0	23	17	3	0.7391304348	0.1304347826	ref_001141	0.21622	0.1290345161	0.7115384615	0.5967741935	891	0.8709654839	0.7988590753	gen_98	0.70192	0.29808						
gen_28	66	True	False	False	False	True	0.1148000269	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	detected	20	5.3e-06	0.5128205128	False	0	23	17	8	0.7391304348	0.347826087	ref_000493	0.44118	0.2272745455	0.5151515152	0.5396825397	9.7	0.7727254545	0.9221771524	gen_148	0.2631552632	0.7368447368	2.7e-06	20.9	2	21	17	36
gen_32	104	True	False	False	False	True	0.05896956444	0.06061925601	False	True	False	[]	True	False	[]	True		detected	33.1	4.2e-10	0.8974358974	False	0.004519949118	23	19	6	0.8260869565	0.2608695652	ref_000279	0.29885	0.2499995192	0.8365384615	1.011627907	7.7	0.7500004808	0.9436828921	gen_102	0.2436957983	0.7563042017	2.4e-10	33.9	3	37	19	50
gen_34	115	True	False	False	False	True	0.1200347713	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	not_detected	0	1000	0	False	0	23	18	6	0.7826086957	0.2608695652	ref_001222	0.28767	0.182607913	0.6347826087	0.9605263158	12	0.817392087	0.6239062892	gen_100	0.7130386957	0.2869613043						
gen_35	155	True	False	False	False	True	0.0437533612	0.06061925601	False	True	False	[]	True	False	[]	True		detected	43.5	2.3e-13	1	True	0.1244019139	23	23	22	1	0.9565217391	ref_001033	0.81046	0.8000024516	0.9870967742	0.9935064935	1.63e-74	0.1999975484	0.9334880223	gen_118	0.717945	0.282055	1.7e-13	44	1	39	19	57
gen_36	100	True	False	False	False	True	0.1236395757	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	not_detected	0	1000	0	False	0	23	18	4	0.7826086957	0.1739130435	ref_001143	0.38889	0.1138214634	0.36	0.2926829268	28	0.8861785366	0.5521695123	gen_15	0.85294	0.14706						
gen_37	114	True	False	False	False	True	0.05993804667	0.06061925601	False	True	False	[]	True	False	[]	True		not_detected	0	1000	0	False	0	23	18	5	0.7826086957	0.2173913043	ref_000105	0.26027	0.1666641228	0.6403508772	0.8295454545	710	0.8333358772	0.7945640408	gen_99	0.8947403509	0.1052596491						
gen_38	106	True	False	False	False	True	0.10596718	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	not_detected	0	1000	0	False	0	23	18	4	0.7826086957	0.1739130435	ref_000573	0.28	0.1320754717	0.4716981132	0.6756756757	40	0.8679245283	0.5923739197	gen_170	0.7075457547	0.2924542453						
gen_39	71	True	False	False	False	True	0.03153631034	0.06061925601	False	True	False	[]	True	False	[]	True		detected	55.6	3.9e-17	1	True	0.6220095694	23	23	20	1	0.8695652174	ref_000626	0.74242	0.6805516667	0.9295774648	0.9166666667	7.37e-30	0.3194483333	0.9202091071	gen_101	0.6338049296	0.3661950704	3.1e-17	55.9	1	39	11	49
gen_40	136	True	False	False	False	True	0.04156627791	0.06061925601	False	True	False	[]	True	False	[]	True		detected	46.8	2.3e-14	0.9743589744	True	0.2344497608	23	23	23	1	1	ref_001168	0.73913	0.728571	1.014705882	0.9857142857	1.81e-53	0.271429	0.9319367888	gen_68	0.5103468276	0.4896531724	1.6e-14	47.3	2	39	19	56
gen_42	84	True	False	False	False	True	0.02131395013	0.06061925601	False	True	False	[]	True	False	[]	True		detected	60.9	8.8e-19	1	True	0.980861244	23	23	23	1	1	ref_000741	0.85714	0.85714	1	1	1.04e-48	0.14286	0.9076798901	gen_173	0.8488395349	0.1511604651	6.8e-19	61.3	1	39	11	49
gen_43	98	True	False	False	False	True	0.1593583986	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	not_detected	0	1000	0	False	0	23	14	6	0.6086956522	0.2608695652	ref_000482	0.26316	0.2551040816	0.9693877551	1.055555556	6.6	0.7448959184	0.6943284745	gen_192	0.5816363265	0.4183636735						
gen_44	70	True	False	False	False	True	0.02071532008	0.06061925601	False	True	False	[]	True	False	[]	True		detected	56.6	1.9e-17	1	True	0.7057416268	23	23	22	1	0.9565217391	ref_000685	0.88571	0.88571	1	1	6.86e-41	0.11429	0.9217792812	gen_161	0.7857185714	0.2142814286	1.5e-17	56.9	1	39	11	49
gen_46	96	True	False	False	False	True	0.05315175493	0.06061925601	False	True	False	[]	True	False	[]	True		not_detected	0	1000	0	False	0	23	17	4	0.7391304348	0.1739130435	ref_000986	0.28205	0.1401267516	0.8125	0.4968152866	43	0.8598732484	0.8235333189	gen_117	0.3883495146	0.6116504854						
gen_47	100	True	False	False	False	True	0.1638509017	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	not_detected	0	1000	0	False	0	23	18	5	0.7826086957	0.2173913043	ref_001168	0.25806	0.05714185714	0.31	0.2214285714	384	0.9428581429	0.578927053	gen_36	0.7900024	0.2099976						
gen_49	112	True	False	False	False	True	0.1063076782	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	not_detected	0	1000	0	False	0	23	18	5	0.7826086957	0.2173913043	ref_001186	0.35616	0.216664	0.6517857143	0.6083333333	101	0.783336	0.6231148059	gen_86	0.6875033929	0.3124966071						
gen_51	101	True	False	False	False	True	0.1181295691	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	not_detected	0	1000	0	False	0	23	21	8	0.9130434783	0.347826087	ref_000171	0.30233	0.1287147525	0.4257425743	0.4479166667	866	0.8712852475	0.6313134672	gen_11	0.62832	0.37168						
gen_52	103	True	False	False	False	True	0.1044781909	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	not_detected	0	1000	0	False	0	23	17	5	0.7391304348	0.2173913043	ref_000812	0.33333	0.1262123301	0.3786407767	0.4382022472	159	0.8737876699	0.5732062702	gen_73	0.7767	0.2233						
gen_53	109	True	False	False	False	True	0.122282264	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	not_detected	0	1000	0	False	0	23	18	5	0.7826086957	0.2173913043	ref_000267	0.52941	0.08256853211	0.1559633028	0.1789473684	41	0.9174314679	0.5994015948	gen_153	0.76147	0.23853						
gen_54	109	True	False	False	False	True	0.1280095989	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	not_detected	0	1000	0	False	0	23	17	6	0.7391304348	0.2608695652	ref_001099	0.36667	0.08333409091	0.2752293578	0.2272727273	181	0.9166659091	0.6884621868	gen_100	0.6181823636	0.3818176364						
gen_55	94	True	False	False	False	True	0.0368950792	0.06061925601	False	True	False	[]	True	False	[]	True		not_detected	0	1000	0	False	0	23	23	11	1	0.4782608696	ref_000170	0.31707	0.2765929787	0.8723404255	0.9425287356	474	0.7234070213	0.9849906458	gen_195	0.1382985106	0.8617014894						
gen_56	103	True	False	False	False	True	0.0507905843	0.06061925601	False	True	False	[]	True	False	[]	True		detected	58.2	6.1e-18	1	True	0.8062200957	23	21	11	0.9130434783	0.4782608696	ref_000864	0.6875	0.3963963964	0.6213592233	0.5765765766	2.4e-30	0.6036036036	0.9410311002	gen_199	0.4500026667	0.5499973333	4.9e-18	58.5	1	39	11	49
gen_57	111	True	False	False	False	True	0.1291506473	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	not_detected	0	1000	0	False	0	23	18	8	0.7826086957	0.347826087	ref_000977	0.32653	0.1185182963	0.4414414414	0.362962963	85	0.8814817037	0.5972446116	gen_17	0.75652	0.24348						
gen_58	104	True	False	False	False	True	0.05216972195	0.06061925601	False	True	False	[]	True	False	[]	True		detected	32.1	8.5e-10	0.9230769231	False	0.004649090522	23	21	13	0.9130434783	0.5652173913	ref_000864	0.5	0.3423423423	0.7307692308	0.6846846847	4.45e-17	0.6576576577	0.9472006409	gen_199	0.3499986667	0.6500013333	3.1e-10	33.5	2	37	14	49
gen_60	106	True	False	False	False	True	0.1654093738	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	not_detected	0	1000	0	False	0	23	18	7	0.7826086957	0.3043478261	ref_000147	0.32075	0.160375	0.5	0.6385542169	198	0.839625	0.6057068516	gen_86	0.7169856604	0.2830143396						
gen_61	114	True	False	False	False	True	0.04552730201	0.06061925601	False	True	False	[]	True	False	[]	True		not_detected	0	1000	0	False	0	23	18	5	0.7826086957	0.2173913043	ref_000882	0.24468	0.1654670504	0.8245614035	0.6762589928	11	0.8345329496	0.7773795244	gen_127	0.87719	0.12281						
gen_62	84	True	False	False	False	True	0.08789804953	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	not_detected	0	1000	0	False	0	23	19	7	0.8260869565	0.3043478261	ref_000527	0.28333	0.197672093	0.7142857143	0.6976744186	47	0.802327907	0.9401412809	gen_83	0.90476	0.09524						
gen_63	97	True	False	False	False	True	0.09814445251	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	not_detected	0	1000	0	False	0	23	18	6	0.7826086957	0.2608695652	ref_000345	0.3125	0.1030927835	0.3298969072	0.3555555556	152	0.8969072165	0.5772150325	gen_7	0.793811134	0.206188866						
gen_65	84	True	False	False	False	True	0.09666009599	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	not_detected	0	1000	0	False	0	23	19	5	0.8260869565	0.2173913043	ref_000627	0.39394	0.1547621429	0.3928571429	0.4459459459	59	0.8452378571	0.9345570769	gen_9	0.89286	0.10714						
gen_66	94	True	False	False	False	True	0.09801632041	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	not_detected	0	1000	0	False	0	23	18	7	0.7826086957	0.3043478261	ref_000616	0.3913	0.09090808081	0.2446808511	0.2323232323	309	0.9090919192	0.6515092466	gen_145	0.6063856383	0.3936143617						
gen_67	92	True	False	False	False	True	0.03001899713	0.06061925601	False	True	False	[]	True	False	[]	True		detected	53.1	2.4e-16	1	True	0.4377990431	23	23	23	1	1	ref_000778	0.89888	0.8695686957	0.9673913043	1	2.08e-51	0.1304313043	0.9130963001	gen_179	0.8043494565	0.1956505435	1.8e-16	53.5	1	39	11	49
gen_68	145	True	False	False	False	True	0.03687893392	0.06061925601	False	True	False	[]	True	False	[]	True		detected	46.2	3.4e-14	0.9743589744	True	0.1961722488	23	23	23	1	1	ref_001168	0.73913	0.7034478621	0.9517241379	0.9857142857	7.55e-58	0.2965521379	0.931808763	gen_40	0.5103468276	0.4896531724	2.5e-14	46.7	2	39	18	55
gen_69	103	True	False	False	False	True	0.07490895018	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	not_detected	0	1000	0	False	0	23	18	5	0.7826086957	0.2173913043	ref_001064	0.28358	0.1557365574	0.6504854369	0.5491803279	673	0.8442634426	0.7642027849	gen_99	0.7105276316	0.2894723684						
gen_70	107	True	False	False	False	True	0.1709710156	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	not_detected	0	1000	0	False	0	23	18	5	0.7826086957	0.2173913043	ref_000662	0.30612	0.1401857944	0.4579439252	0.6805555556	554	0.8598142056	0.585304476	gen_153	0.78505	0.21495						
gen_71	84	True	False	False	False	True	0.1271474532	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	detected	53.4	1.9e-16	1	True	0.4593301435	23	21	9	0.9130434783	0.3913043478	ref_001221	0.48936	0.2738085714	0.5595238095	0.5662650602	2.17e-12	0.7261914286	0.9261223993	gen_139	0.4725237363	0.5274762637	1.6e-16	53.7	1	39	29	67
gen_73	103	True	False	False	False	True	0.1316416818	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	not_detected	0	1000	0	False	0	23	18	6	0.7826086957	0.2608695652	ref_000812	0.45	0.08737864078	0.1941747573	0.2247191011	21	0.9126213592	0.5712533645	gen_86	0.8349541748	0.1650458252						
gen_74	103	True	False	False	False	True	0.1089864509	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	not_detected	0	1000	0	False	0	23	18	4	0.7826086957	0.1739130435	ref_001050	0.28	0.1296296296	0.4854368932	0.462962963	825	0.8703703704	0.5928156558	gen_36	0.7961184466	0.2038815534						
gen_76	155	True	False	False	False	True	0.05258141448	0.06061925601	False	True	False	[]	True	False	[]	True		detected	43.2	3e-13	1	True	0.1028708134	23	23	22	1	0.9565217391	ref_001038	0.83117	0.8258076129	0.9935483871	0.9935483871	1.52e-76	0.1741923871	0.9341761476	gen_118	0.7435875	0.2564125	2.3e-13	43.6	1	39	19	57
gen_77	100	True	False	False	False	True	0.1449375469	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	not_detected	0	1000	0	False	0	23	18	5	0.7826086957	0.2173913043	ref_000321	0.32075	0.1699975	0.53	0.5760869565	359	0.8300025	0.5815081177	gen_36	0.84	0.16						
gen_78	105	True	False	False	False	True	0.1840149511	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	not_detected	0	1000	0	False	0	23	15	8	0.652173913	0.347826087	ref_000478	0.43243	0.1523800952	0.3523809524	0.4111111111	715	0.8476199048	0.9613107764	gen_111	0.1909096364	0.8090903636						
gen_79	112	True	False	False	False	True	0.09595616372	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	not_detected	0	1000	0	False	0	23	18	6	0.7826086957	0.2608695652	ref_000939	0.38095	0.1095883562	0.375	0.2876712329	88	0.8904116438	0.6276672287	gen_86	0.65179	0.34821						
gen_80	91	True	False	False	False	True	0.1249226207	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	not_detected	0	1000	0	False	0	23	17	6	0.7391304348	0.2608695652	ref_000823	0.29545	0.1428549451	0.4835164835	0.6197183099	7.4	0.8571450549	0.5872852059	gen_196	0.75824	0.24176						
gen_81	93	True	False	False	False	True	0.1333839707	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	not_detected	0	1000	0	False	0	23	18	5	0.7826086957	0.2173913043	ref_000178	0.33333	0.1182783871	0.3548387097	0.3666666667	895	0.8817216129	0.5768857207	gen_156	0.8494605376	0.1505394624						
gen_82	103	True	False	False	False	True	0.1115376964	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	not_detected	0	1000	0	False	0	23	18	6	0.7826086957	0.2608695652	ref_000237	0.19048	0.07767145631	0.4077669903	0.5526315789	37	0.9223285437	0.5904850418	gen_0	0.7475708738	0.2524291262						
gen_83	84	True	False	False	False	True	0.1090431803	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	not_detected	0	1000	0	False	0	23	19	6	0.8260869565	0.2608695652	ref_001116	0.34146	0.121737913	0.4880952381	0.3565217391	977	0.878262087	0.9384165064	gen_62	0.90476	0.09524						
gen_84	92	True	False	False	False	True	0.1535353165	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	not_detected	0	1000	0	False	0	23	18	5	0.7826086957	0.2173913043	ref_000265	0.34211	0.1413063043	0.4130434783	0.4130434783	17	0.8586936957	0.5899454394	gen_151	0.8913054348	0.1086945652						
gen_85	104	True	False	False	False	True	0.1224161869	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	not_detected	0	1000	0	False	0	23	18	6	0.7826086957	0.2608695652	ref_000713	0.3	0.1442307692	0.4807692308	0.7142857143	7.3	0.8557692308	0.6365523417	gen_152	0.6250020192	0.3749979808						
gen_86	102	True	False	False	False	True	0.1142979337	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	not_detected	0	1000	0	False	0	23	18	6	0.7826086957	0.2608695652	ref_000734	0.26882	0.2451005882	0.9117647059	1	625	0.7548994118	0.5370439251	gen_106	0.8529427451	0.1470572549						
gen_87	104	True	False	False	False	True	0.100310696	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	not_detected	0	1000	0	False	0	23	18	6	0.7826086957	0.2608695652	ref_000790	0.33846	0.2115375	0.625	0.7558139535	294	0.7884625	0.5765462379	gen_73	0.7980732692	0.2019267308						
gen_88	98	True	False	False	False	True	0.1373577329	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	not_detected	0	1000	0	False	0	23	18	7	0.7826086957	0.3043478261	ref_000147	0.32075	0.1734668367	0.5408163265	0.6385542169	277	0.8265331633	0.5392486195	gen_156	0.8571468367	0.1428531633						
gen_89	96	True	False	False	False	True	0.1315700751	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	not_detected	0	1000	0	False	0	23	18	5	0.7826086957	0.2173913043	ref_000885	0.275	0.07692307692	0.4166666667	0.2797202797	349	0.9230769231	0.5913549702	gen_156	0.7708341667	0.2291658333						
gen_90	97	True	False	False	False	True	0.1329553452	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	not_detected	0	1000	0	False	0	23	18	4	0.7826086957	0.1739130435	ref_000008	0.29825	0.1752603093	0.587628866	0.7702702703	82	0.8247396907	0.5877431769	gen_36	0.820001	0.179999						
gen_91	83	True	False	False	False	True	0.1333770099	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	detected	39.2	5.5e-12	0.9230769231	False	0.0116227263	23	19	10	0.8260869565	0.4347826087	ref_001221	0.39062	0.3012009639	0.7710843373	0.7710843373	9.22e-08	0.6987990361	0.9355605814	gen_71	0.34524	0.65476	4.2e-12	39.5	1	36	37	70
gen_92	89	True	False	False	False	True	0.02420720274	0.06061925601	False	True	False	[]	True	False	[]	True		detected	56.3	2.4e-17	1	True	0.6889952153	23	23	23	1	1	ref_000029	0.89888	0.89888	1	1.022988506	1.17e-49	0.10112	0.9053633827	gen_173	0.8651710112	0.1348289888	1.8e-17	56.7	1	39	11	49
gen_94	74	True	False	False	False	True	0.0483753911	0.06061925601	False	True	False	[]	True	False	[]	True		detected	34.2	1.9e-10	0.8974358974	False	0.004519949118	23	21	10	0.9130434783	0.4347826087	ref_000717	0.40351	0.3108117568	0.7702702703	0.7916666667	1.05e-06	0.6891882432	0.9417376357	gen_129	0.3378405405	0.6621594595	1.3e-10	34.8	1	35	20	54
