sequence_id	sequence_sha256	terminated_by_eos	hit_generation_cap	stop_reason	length	standard_aa_only	duplicate_candidate	generation_cap_warning	low_complexity_warning	composition_outlier_checked	composition_js_divergence	composition_js_threshold	composition_outlier_warning	training_match_checked	exact_training_match	training_match_ids	reference_match_checked	exact_reference_match	reference_match_ids	qc_pass	qc_reasons
vae_candidate_000011	24b09a5248405b355eb4d0b6991ba31b2f411e7b5d8bf571eca66ada82f24a35	true	false	eos	76	True	False	False	False	True	0.030952727473941566	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000012	2209f26349121f51c2d50683bbc79b7adb39ee0a2efe92458c2e1ef8796ccd49	true	false	eos	144	True	False	False	False	True	0.02023316961984229	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000013	ff9300d2e2aef7175b58962087d76f8ea3405cf2208df6619ad6adb51165ea90	true	false	eos	167	True	False	False	False	True	0.040306168868928155	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000014	bb134afc34d6066647b4fd569d5bde33baa5bfb45b52bbcbdd9b81dcc82ecc4d	true	false	eos	137	True	False	False	False	True	0.0187154612542091	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000015	3bc2916e02c2a9414da1e3e8711361a2763804f0ec0cf9acf141efc580f8d86f	true	false	eos	139	True	False	False	False	True	0.02542201542728907	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000016	0b5eb08f6eb332ce200c2fd9b6660662a77c6852f167a615c09a962dc0375a6d	false	true	length_cap	180	True	False	True	False	True	0.07926990621295979	0.06381829728796119	True	True	False	[]	True	False	[]	True	composition_outlier_warning;generation_cap_warning
vae_candidate_000017	9c8ab771bfd794b1aa7ee69ee0f37530f57d5e5486e05a9672da5e3cd28c44cd	true	false	eos	95	True	False	False	False	True	0.048253609763721984	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000018	9903c0f8a58dfda520537020603f08a1e3bc0841c86ce6cda9c792ef6b8aecc3	true	false	eos	98	True	False	False	False	True	0.03830109792884934	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000019	61e1b7b4d9c8bbeaf13620a1de72d366d0d9d05983b9ea1c0889f6bbc693f8bb	true	false	eos	71	True	False	False	False	True	0.06971136078441717	0.06381829728796119	True	True	False	[]	True	False	[]	True	composition_outlier_warning
vae_candidate_000020	ae8c524e0e385be95a4a7dd5c033ce06143a99f3991eb736fd2152038c13221e	true	false	eos	107	True	False	False	False	True	0.019250950390677618	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000021	55cbcdd2143ac3b0c8f48d84b7f3d3c6bd2088f63ca032dbd1acc5997b0b2c7c	true	false	eos	95	True	False	False	False	True	0.07453656288852442	0.06381829728796119	True	True	False	[]	True	False	[]	True	composition_outlier_warning
vae_candidate_000022	5a5f5864f1c94e79295a9d04601ea627af0ffc066c1e4684e1605f4910b6bbdd	true	false	eos	141	True	False	False	False	True	0.05164996713497027	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000023	227f5f85d2c1ea30fe2c2f81ec23bce8f21c213023c3c31841a36300d2234799	true	false	eos	133	True	False	False	False	True	0.03689663976577992	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000024	1b63af6e39e9be1d0aa5db5825c7af6661efdf4146993b28e176f1e985962e8c	true	false	eos	142	True	False	False	False	True	0.03404160451805878	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000025	826b8e1b9ae33fb6a5f6a3bc529102bf8ff631873ffce76f6ce8d0c277a910e4	true	false	eos	103	True	False	False	False	True	0.033580542546849654	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000026	5fe8efcab91f21567b128757d6c5991e38b1a633279bb4d4253b2c5351192869	true	false	eos	125	True	False	False	False	True	0.033866386197971825	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000027	3f0375f4b3dc4aee1d00c8b20d4905dcb41ea55006a8d50484456911662079cd	true	false	eos	74	True	False	False	False	True	0.031035416239708076	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000028	24df65b3d09872e03a9c1ab0952689b0946af28146612cb127f5146fc56f1786	true	false	eos	127	True	False	False	False	True	0.03378132842732676	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000029	3242d585e56968b6b6d3779a84c6879dd2750e5c60057092d7c0c3c71bae79ae	true	false	eos	90	True	False	False	False	True	0.018721274496646692	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000030	7b6599f29821f4fc26f818b6b609f681c067638b47fa0164a89a5ae71f8f978c	true	false	eos	99	True	False	False	False	True	0.03418009678146157	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000031	f27ccf550975b33eec059d426fa034dff85a85e0b929a62625b3bbddf9d79a26	true	false	eos	74	True	False	False	False	True	0.05233616273007713	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000032	e44eaae089f627a5f9e9d800adbf5abc109a4bf622b625468f765a919c99cdbb	true	false	eos	97	True	False	False	False	True	0.01822619222639401	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000033	fd0a65a97f33b3d0e714436d62781b63acf04ba867775752865c7f294369b2ea	true	false	eos	123	True	False	False	False	True	0.055681955161864624	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000034	36662d33f08471ea31758b191a75d6473722ebfb5002258e1899528823e73149	true	false	eos	92	True	False	False	False	True	0.014098905246840819	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000035	2c09b2f6ce4b2ca918c815965f1d36c90b04ec1a900a04e4644541b3f1ad9a6e	true	false	eos	95	True	False	False	False	True	0.040349181526233194	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000036	20ef141b558e1fc9742ce427b9de2fb2b223aca7b7a9aefff8c89a24cbcaf39b	true	false	eos	100	True	False	False	False	True	0.08668766484575748	0.06381829728796119	True	True	False	[]	True	False	[]	True	composition_outlier_warning
vae_candidate_000037	dcbb9e016c560cf7b18a0436e1dbaab229f8ad1eab8cb995f20d592dca291d9d	true	false	eos	63	True	False	False	False	True	0.03598040223932629	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000038	2b615b03f06addbc70d65f130a47f9dc22844b880051f56a6b295e6c18d5af7f	true	false	eos	129	True	False	False	False	True	0.054933134680619104	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000039	f36881fe1a088c6a58f5b3b9d119ef19814a518a5e7910936c0a00b45295f68c	true	false	eos	104	True	False	False	False	True	0.03911375167728098	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000040	9ed5c77bffa3ef0b1c8f8dafeb722c4c4d4bc7a46064767cfc83f1f63c7e8790	true	false	eos	168	True	False	False	False	True	0.025509645667142734	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000041	186da6e177a19eacd3d559e95fd5b73ab30b9ad9d5afb4c2c73deb3d1324dc8b	true	false	eos	93	True	False	False	False	True	0.03687163406658328	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000042	3a2140bacd87687187b99035a2cd220e852a764160589cb1400a1938704425b7	true	false	eos	115	True	False	False	False	True	0.03410113650942497	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000043	80dff3968fd241dfb440aacf20c77335f317f25edd65fc5cfff61a9aa3c4cfd1	true	false	eos	128	True	False	False	False	True	0.027206513170816776	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000044	59841b357d6487c5a6c17e727a6931576a1d817b1cca0e2b5bd43ff1e3edecbf	true	false	eos	71	True	False	False	False	True	0.019117283321184675	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000045	ff862c8141858294aaa9f11bf3be63a1662f9764f526a8567c6935823f6ba608	true	false	eos	134	True	False	False	False	True	0.03719504385281418	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000046	fa65c311c43a8d04a3f21b200840e33d487102fdecd72e9c5582265b4f97297f	true	false	eos	126	True	False	False	False	True	0.02133299796115746	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000047	bf1e201433832bc7a494c1ad09d17d8fcdd165ba4834a97ad6232bde32830665	true	false	eos	59	True	False	False	False	True	0.029899120655671636	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000048	4482ea96472d31ebc912c0de9a55f9526254ad45714394d95eb25de7dbcd242d	true	false	eos	76	True	False	False	False	True	0.06914563135764974	0.06381829728796119	True	True	False	[]	True	False	[]	True	composition_outlier_warning
vae_candidate_000049	9db73996d2979d5828d9f896ad9bf2c52ace50870be9a4f8921e9da444167070	true	false	eos	112	True	False	False	False	True	0.06974717035953817	0.06381829728796119	True	True	False	[]	True	False	[]	True	composition_outlier_warning
vae_candidate_000050	d6eade2c18d926b4a9d7ec82b7f1615b2e260abd464154bc9db8f1775dba6cf9	true	false	eos	70	True	False	False	False	True	0.016786428754475207	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000051	7b74ac8889f5e2d14a9efa0875b8ccb372f47f3e873c944652a036a8e7323545	true	false	eos	82	True	False	False	False	True	0.04122320391813049	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000052	5373afba832cbdbea249f8bc08254c7ee7b3c989ddd53383703db146b0d8d20b	true	false	eos	104	True	False	False	False	True	0.09160801379674412	0.06381829728796119	True	True	False	[]	True	False	[]	True	composition_outlier_warning
vae_candidate_000053	b3b8c33a5b22cdfe9e9926e2dab84d1c4a2eb8cb7f2deb06cde1a737205be09a	true	false	eos	143	True	False	False	False	True	0.04700308888566822	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000054	607b9955ebaf04e0de46bf6bce67ac75f9574089b68dff97d7c30b3acb12ae4f	true	false	eos	117	True	False	False	False	True	0.024288533122347945	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000055	bad7436e63e4e26e30934f8591f426c5c7a0f03a259b39448159d1df834b6a73	true	false	eos	51	True	False	False	False	True	0.13111040527764065	0.06381829728796119	True	True	False	[]	True	False	[]	True	composition_outlier_warning
vae_candidate_000056	a09c6ceedd41f54a2281e6ad7d1e6a1b299800f7d3d3c50fb4ab3b8ebb596587	true	false	eos	69	True	False	False	False	True	0.029177715922036055	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000057	2af931adeb233cd39ad8d91c0c14316f33b07c0d5034356d1002a99c287b0523	true	false	eos	113	True	False	False	False	True	0.01216071182450734	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000058	860f4a13c1f3f2220ee1db107ba1c07d4dbdf710a6ab08f42819b416d6d09fac	true	false	eos	86	True	False	False	False	True	0.01949727570712859	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000059	57c3a0c94772b72a830fb9c7f73ad94d96e446f7dbdb76f8362207afab88e622	true	false	eos	85	True	False	False	False	True	0.07758958949169593	0.06381829728796119	True	True	False	[]	True	False	[]	True	composition_outlier_warning
vae_candidate_000060	9292dc1d28b3bfaa6b41ff76c0e4a82a93d9e4fff0ee862ac07728e23c8bed12	true	false	eos	58	True	False	False	False	True	0.0854989622750498	0.06381829728796119	True	True	False	[]	True	False	[]	True	composition_outlier_warning
vae_candidate_000061	7b84e79a3a0beb5d80b0281069867504089a5c213346fc6895b86d1fe4a40d2c	true	false	eos	110	True	False	False	False	True	0.0329396258150423	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000062	d1150b8dc3ee601f11aec290ea9dc0c1d1af3c52c7290a8b136a58ab16746cc5	true	false	eos	90	True	False	False	False	True	0.03679057161530119	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000063	bb097cf25c7bfa7a4edc82bd751061c1ca21902b3067fa372f74c740a706f272	true	false	eos	94	True	False	False	False	True	0.019907957001606018	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000064	3815ac7163d0ed486e30fec2527de60e197891173649f23afeb2e98c8fb56090	true	false	eos	96	True	False	False	False	True	0.025130160433360228	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000065	21818a9b303af01ae846a79041186c50c69d49abd6a9a29662c47d5f8daf4294	true	false	eos	81	True	False	False	False	True	0.03071047197796039	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000066	c235c9d91182c84f2466c38831847d9da95690440c7c665048b5bd399bf2b23f	true	false	eos	75	True	False	False	False	True	0.05735798739540372	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000067	13493101c4fcb7b1c93534d9a73af04dbef197e3b7707d1e333aec1a353a789d	true	false	eos	133	True	False	False	False	True	0.018558018120577696	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000068	c3941ba46ed9169ce82a620641e471d81cc667d5ba00186809faab54e0cdcbaf	true	false	eos	103	True	False	False	False	True	0.039505927520930566	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000069	40312d15d20ecba4063c35749333f381de13f3440732e2713ea41975f2df024f	true	false	eos	145	True	False	False	False	True	0.03300919361712425	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000070	13aea4139dbbe80aa0ac0a0547cfdd81972b9c67754b9431cb258d9c9f0deff5	true	false	eos	91	True	False	False	False	True	0.015783697061834842	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000071	a6d71e31a9b891614c2c82543b722630c07bb642f52d2f88a8f65a3d293e1be7	true	false	eos	61	True	False	False	False	True	0.03897093668491394	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000072	2a9f1680ab42829ab9ff306f5e2ae50f005040643ab0310a0ea76b4302f2f9f3	true	false	eos	157	True	False	False	False	True	0.026172436152839755	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000073	65c791cc04edc3309f6e7b5efba23c11bc4d371d15a1d4bc709ae80ce3a4b4e1	true	false	eos	146	True	False	False	False	True	0.0793900471661998	0.06381829728796119	True	True	False	[]	True	False	[]	True	composition_outlier_warning
vae_candidate_000074	d1bea1e9a515f2726757fe74b5f1692f792c933c8a5cad4260f3b9529cc846bd	true	false	eos	103	True	False	False	False	True	0.0482221136048951	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000075	74ae5e5c71d68830cf119e2a5b90269f534c34ddc9cebfbcd242cf910cfe3fac	false	true	length_cap	180	True	False	True	False	True	0.07340754344630904	0.06381829728796119	True	True	False	[]	True	False	[]	True	composition_outlier_warning;generation_cap_warning
vae_candidate_000076	395d964efef3566326ca7a6b92d9f5cf95c9bba7d2fa10dbcbce75b9ba521115	true	false	eos	118	True	False	False	False	True	0.08239622708383318	0.06381829728796119	True	True	False	[]	True	False	[]	True	composition_outlier_warning
vae_candidate_000077	97c0f9e65dba5eda9de7fa77fe6cd53d1dcd285672c9ed2bc27fd39248ac60e1	true	false	eos	101	True	False	False	False	True	0.045524175433195396	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000078	94a3a0b3cae5f64a4b96b2548a0aa7b55717d5973c2b054c2757c388b82cd979	true	false	eos	76	True	False	False	False	True	0.07018224175198848	0.06381829728796119	True	True	False	[]	True	False	[]	True	composition_outlier_warning
vae_candidate_000079	0dee989a9c30c63ca62dce7f251ab9d87d8d73d4af53b655e76f13fcc9f7a5aa	true	false	eos	104	True	False	False	False	True	0.08115163386858756	0.06381829728796119	True	True	False	[]	True	False	[]	True	composition_outlier_warning
vae_candidate_000080	5dfd6202ee65aae25b669856947d4ed01d617b6294dede39143b2ab94bff5379	true	false	eos	80	True	False	False	False	True	0.0691354322302758	0.06381829728796119	True	True	False	[]	True	False	[]	True	composition_outlier_warning
vae_candidate_000081	1701ed6ca62831e09508f3dbc97de5ade97b597b3fe478bb9c6d759bc543d476	true	false	eos	51	True	False	False	False	True	0.0905123726954386	0.06381829728796119	True	True	False	[]	True	False	[]	True	composition_outlier_warning
vae_candidate_000082	d251a995a0b41b9e97106f0bc675ca43446884a37ddd6e9386e8a0159a11811c	true	false	eos	110	True	False	False	False	True	0.033432198844671995	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000083	8113528b1d18d0383e8bd6d9c6c77dd621fed78243a03555a1aa0800e384e76f	false	true	length_cap	180	True	False	True	False	True	0.06491631865989693	0.06381829728796119	True	True	False	[]	True	False	[]	True	composition_outlier_warning;generation_cap_warning
vae_candidate_000084	715de92be4b811d8ddc915529c515e5c042c222217ce47c048d284045ca91ac1	false	true	length_cap	180	True	False	True	False	True	0.027903923421106366	0.06381829728796119	False	True	False	[]	True	False	[]	True	generation_cap_warning
vae_candidate_000085	9275320efeafd170420e960648308094f098bbf8cf7f0e463f50812c8cd2e0e9	true	false	eos	74	True	False	False	False	True	0.04992331445227131	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000086	77b7c617c822bc43785fbd37be536267e212ef3308743ba78dec5ff7b5fe6ab8	true	false	eos	91	True	False	False	False	True	0.06029665684267363	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000087	f3f4fbb82fee12c8f85f8b131e2977c8a391d668dbbd89b5380e055921607df5	true	false	eos	93	True	False	False	False	True	0.012487398913580501	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000088	7f6e1f12b07522bd93f092bf51bc2715f5eb91b0a12dade416be3659245eafdf	true	false	eos	101	True	False	False	False	True	0.03194432253638104	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000089	55b52c0578d58ed14845a55edb676b338912ca2d807a8cb061912d9a002a4aa8	true	false	eos	75	True	False	False	False	True	0.031499752612615645	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000090	b78d9fef3931ec7d728ac3f611e9a10f680ff2c6cfbe56206851d062600b65ff	true	false	eos	93	True	False	False	False	True	0.017832447905172206	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000091	d0a2ecdd0b8ce56a6adc448fa5aef33cd1cd70ce5ccf42cc6955735d3b92b357	true	false	eos	93	True	False	False	False	True	0.018429846098532612	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000092	f22245de544f4262aa686fe5cb2bc22b23e0660a8b41f28dfc6afd33aa1ab3c2	true	false	eos	123	True	False	False	False	True	0.045874160576620526	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000093	b0c33e69a1dcb8cf4860d6fbba900173fe2bf2123ebbeeaaf966788082bec92f	true	false	eos	140	True	False	False	False	True	0.04027523265172988	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000094	7cc23aec94e841a26743eccf39ab494b432ba70dd9798d569b1d63d27c2d279a	true	false	eos	178	True	False	False	False	True	0.017961386641000936	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000095	1d0662deaf8a0a54ca5095ce9de44a70bd57cc15225f387576ef641a8367e96f	true	false	eos	121	True	False	False	False	True	0.015625314650718668	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000096	ec3a674bba1226203dca8260ef79039eca190c1e36e4f44627ee9f81635ce9d6	false	true	length_cap	180	True	False	True	False	True	0.04812986781735741	0.06381829728796119	False	True	False	[]	True	False	[]	True	generation_cap_warning
vae_candidate_000097	6bb68b9c28df10f0d886ecebf0a2e48a84128c60102ff33af097f35d4e87454c	true	false	eos	56	True	False	False	False	True	0.06793853040383052	0.06381829728796119	True	True	False	[]	True	False	[]	True	composition_outlier_warning
vae_candidate_000098	0a95cd89cbd51a9effadcd1e8436b3f9d133c409606f33304493c03d80d304b9	true	false	eos	70	True	False	False	False	True	0.03294721150036105	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000099	3ee350ea62c2583ffde40794fb1640960a9825b9aa4b550c036215a39c01805f	true	false	eos	116	True	False	False	False	True	0.03934781027258212	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000100	3b186854d9d1d30ce6ec23ba620a0eb74559ed08fed8375cdf737321378f86de	true	false	eos	138	True	False	False	False	True	0.013563128536814975	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000101	16919e87ebf5fde39b8bec8d70c94192ad2cf0f8eff676d3638bb83b938998da	true	false	eos	97	True	False	False	False	True	0.02880870043351556	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000102	371701d3a36bc643f4e4115a2f29420c0deea4b1b868aa23ef2efeb3097c3405	true	false	eos	64	True	False	False	False	True	0.042309399653672655	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000103	fa367bd3360d65ed99c457a47ecddf55c5ebac669817b440970ef6f6ac19c05a	true	false	eos	111	True	False	False	False	True	0.039571120156301334	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000104	60579a87385fcd7e035e94b7014be64d38a757b962efcff74a2a0e9880e9aa50	true	false	eos	72	True	False	False	False	True	0.023655375517644583	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000105	716deea70c9e9cbb551fc89c89094fe7765d03fb278ab2b2d777bf6b7ffd0fc6	true	false	eos	124	True	False	False	False	True	0.04876044269003417	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000106	733dd02fa4f37733cbd860607908b5668ab165c27617e3577b8b37669a81116d	true	false	eos	89	True	False	False	False	True	0.0513136513920218	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000107	2ae80e1b6a8055ab259e0a60e88f7b9b57d53d3d0b33766e9e87b3b7562a23a1	true	false	eos	94	True	False	False	False	True	0.02032218783682986	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000108	e6c8dd1dcfd49d1e8268f1e107dc3f61a79715c67dbd8d08887b18b4b96f5e44	true	false	eos	108	True	False	False	False	True	0.015027906163959309	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000109	1d6ebbf3421c5e15e7f56422126768098523d37af4cd09822400443d3744f15d	true	false	eos	97	True	False	False	False	True	0.04229837188795337	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000110	3fd84a2b385bc0883127e6cdb9ba4d6534791053ab15d7bd9740d81cdb7ced52	true	false	eos	71	True	False	False	False	True	0.051833692697854025	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000111	a5f25deb53dd0bab0bd10ac2d9888d29c3d47369b6c5951a15286986a6c2fbb2	true	false	eos	123	True	False	False	False	True	0.05799583597158195	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000112	3e4663a25123f49a02500859bcf688ea088de9c15795ff5408f1696a2e261f55	true	false	eos	131	True	False	False	False	True	0.018235894450324343	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000113	f45060cdca53872c1431a510a58ca75aeda60ca24675d9f54b86f23d6d28c3b8	true	false	eos	148	True	False	False	False	True	0.017967398905458426	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000114	72cb7eff4cc8ea2871adca056ed303f753e2b28bb6184534e61bd3cdfd7bba50	true	false	eos	97	True	False	False	False	True	0.032183065982594995	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000115	89ddc2878c503e558d0937dd0a0f21b2c329b1e9261df14b9113ee553a998827	true	false	eos	144	True	False	False	False	True	0.03423359047975916	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000116	4dc09b5e27d868d7726146a5def42d89130ab793e70f881053defb0e12a43664	true	false	eos	118	True	False	False	False	True	0.0242938852925667	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000117	0e7f2c391d709306e68f0d9c6cbc9593c498164a70ceefe9d6ef40aa4c249711	true	false	eos	113	True	False	False	False	True	0.07120168961430495	0.06381829728796119	True	True	False	[]	True	False	[]	True	composition_outlier_warning
vae_candidate_000118	6cd40a94ed63feb8d18f8f011ad2e48f790cab91b04f8eb2d68d38396fb77647	true	false	eos	70	True	False	False	False	True	0.022402856284491124	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000119	709e772f27e3974c58be079e791d95e13a3ef0f8740757dd43ac8c5d3108393a	true	false	eos	73	True	False	False	False	True	0.04452483496927899	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000120	c2df4bcb9565077031ca7af1a36c0af13bca3eea6844ee0343b468043c57b621	true	false	eos	88	True	False	False	False	True	0.025914599573482855	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000121	ca406426331689aa0585b5707a73702d92cb7cbe2e8d30f9d27e97fef320d378	true	false	eos	96	True	False	False	False	True	0.016977521961347483	0.06381829728796119	False	True	False	[]	True	False	[]	True	
vae_candidate_000122	875e0126f5636f972bc977a9bd57d125433539172a4519a70e4ba4a6c389a330	true	false	eos	103	True	False	False	False	True	0.061865832662846815	0.06381829728796119	False	True	False	[]	True	False	[]	True	
