sequence_id	length	domain_status	domain_score	domain_evalue	model_coverage	domain_pass	constraint_score	conserved_sites_total	conserved_sites_covered	conserved_sites_matched	conservation_coverage	conservation_score	closest_reference_id	closest_reference_pident	closest_reference_effective_identity	closest_reference_query_coverage	closest_reference_target_coverage	closest_reference_evalue	novelty_score	uniqueness_score	nearest_candidate_id	nearest_candidate_identity	nearest_candidate_distance	sequence_evalue	sequence_score	hmm_from	hmm_to	alignment_from	alignment_to	pareto_rank	crowding_distance
gen_30	288	not_detected	0	1000	0	False	0	23	18	8	0.7826086957	0.347826087	ref_000981	0.38462	0.06944527778	0.1805555556	0.3586206897	588	0.9305547222	0.9614048579	gen_93	0.3888857292	0.6111142708							1	0.2414069141
gen_92	89	detected	56.3	2.8e-17	1	True	0.6889952153	23	23	23	1	1	ref_000029	0.89888	0.89888	1	1.022988506	1.17e-49	0.10112	0.9199520424	gen_173	0.8651710112	0.1348289888	2.2e-17	56.7	1	39	11	49	1	0.2219807515
gen_124	282	not_detected	0	1000	0	False	0	23	13	6	0.5652173913	0.2608695652	ref_000869	0.51852	0.04964553191	0.09574468085	0.375	26	0.9503544681	0.9532065763	gen_59	0.3714311111	0.6285688889							1	0.2139872461
gen_93	266	not_detected	0	1000	0	False	0	23	19	10	0.8260869565	0.4347826087	ref_001032	0.26214	0.1015053383	0.3872180451	0.762962963	884	0.8984946617	0.9552776279	gen_30	0.3888857292	0.6111142708							1	0.2044336095
gen_185	299	not_detected	0	1000	0	False	0	23	17	10	0.7391304348	0.4347826087	ref_000126	0.30233	0.08695779264	0.2876254181	0.9662921348	216	0.9130422074	0.9533297257	gen_41	0.3960443564	0.6039556436							1	0.1729174746
gen_105	341	not_detected	0	1000	0	False	0	23	18	5	0.7826086957	0.2173913043	ref_000685	0.28814	0.0498541349	0.1730205279	0.8428571429	951	0.9501458651	0.9610828079	gen_2	0.8058	0.1942							1	0.08972315371
gen_195	84	not_detected	0	1000	0	False	0	23	22	6	0.9565217391	0.2608695652	ref_000369	0.31429	0.2619083333	0.8333333333	0.9210526316	642	0.7380916667	0.9536874092	gen_62	0.85714	0.14286							2	inf
gen_47	100	not_detected	0	1000	0	False	0	23	16	6	0.6956521739	0.2608695652	ref_001168	0.25806	0.05714185714	0.31	0.2214285714	384	0.9428581429	0.6419695489	gen_36	0.7900024	0.2099976							2	inf
gen_57	111	not_detected	0	1000	0	False	0	23	16	9	0.6956521739	0.3913043478	ref_000977	0.32653	0.1185182963	0.4414414414	0.362962963	85	0.8814817037	0.6557472526	gen_17	0.75652	0.24348							2	inf
gen_64	490	not_detected	0	1000	0	False	0	23	18	5	0.7826086957	0.2173913043	ref_001060	0.26882	0.05102093878	0.1897959184	0.7685950413	236	0.9489790612	0.9591247762	gen_188	0.5816345918	0.4183654082							2	inf
gen_78	105	not_detected	0	1000	0	False	0	23	0	0	0	0	ref_000478	0.43243	0.1523800952	0.3523809524	0.4111111111	715	0.8476199048	0.9694536722	gen_111	0.1909096364	0.8090903636							2	inf
gen_59	315	not_detected	0	1000	0	False	0	23	18	8	0.7826086957	0.347826087	ref_000251	0.26437	0.07301647619	0.2761904762	0.90625	469	0.9269835238	0.9455711942	gen_45	0.4984333542	0.5015666458							2	1.357943001
gen_120	347	not_detected	0	1000	0	False	0	23	20	4	0.8695652174	0.1739130435	ref_000478	0.30928	0.08645579251	0.2795389049	1.077777778	194	0.9135442075	0.9611316757	gen_50	0.1930844957	0.8069155043							2	0.8021778063
gen_188	482	not_detected	0	1000	0	False	0	23	18	5	0.7826086957	0.2173913043	ref_000896	0.29703	0.06224072614	0.2095435685	0.7426470588	350	0.9377592739	0.9593479488	gen_64	0.5816345918	0.4183654082							2	0.1925146796
gen_148	76	detected	11.1	0.0037	0.7948717949	False	0	23	21	6	0.9130434783	0.2608695652	ref_000510	0.32051	0.3289444737	1.026315789	1.083333333	2.5	0.6710555263	0.9343975418	gen_139	0.4505515385	0.5494484615	0.0038	11.1	4	34	22	49	3	inf
gen_191	84	not_detected	0	1000	0	False	0	23	22	4	0.9565217391	0.1739130435	ref_001204	0.28846	0.1102935294	0.619047619	0.3823529412	128	0.8897064706	0.959532251	gen_9	0.79762	0.20238							3	inf
gen_28	66	detected	20	6.3e-06	0.5128205128	False	0	23	20	8	0.8695652174	0.347826087	ref_000493	0.44118	0.2272745455	0.5151515152	0.5396825397	9.7	0.7727254545	0.9334488498	gen_148	0.2631552632	0.7368447368	3.1e-06	20.9	2	21	17	36	3	inf
gen_33	482	not_detected	0	1000	0	False	0	23	18	5	0.7826086957	0.2173913043	ref_001210	0.27473	0.05186811203	0.1887966805	0.6319444444	272	0.948131888	0.9586125032	gen_188	0.5622415768	0.4377584232							3	inf
gen_79	112	not_detected	0	1000	0	False	0	23	16	8	0.6956521739	0.347826087	ref_000939	0.38095	0.1095883562	0.375	0.2876712329	88	0.8904116438	0.6799455257	gen_86	0.65179	0.34821							3	inf
gen_82	103	not_detected	0	1000	0	False	0	23	16	7	0.6956521739	0.3043478261	ref_000237	0.19048	0.07767145631	0.4077669903	0.5526315789	37	0.9223285437	0.650117283	gen_0	0.7475708738	0.2524291262							3	inf
gen_150	97	not_detected	0	1000	0	False	0	23	15	6	0.652173913	0.2608695652	ref_000555	0.31707	0.1340192784	0.4226804124	0.476744186	506	0.8659807216	0.8113141596	gen_145	0.412371134	0.587628866							3	1.129178772
gen_54	109	not_detected	0	1000	0	False	0	23	16	7	0.6956521739	0.3043478261	ref_001099	0.36667	0.08333409091	0.2752293578	0.2272727273	181	0.9166659091	0.7322617012	gen_100	0.6181823636	0.3818176364							3	0.6288831704
gen_53	109	not_detected	0	1000	0	False	0	23	16	6	0.6956521739	0.2608695652	ref_000267	0.52941	0.08256853211	0.1559633028	0.1789473684	41	0.9174314679	0.6585490271	gen_153	0.76147	0.23853							3	0.3597548446
gen_187	490	not_detected	0	1000	0	False	0	23	18	5	0.7826086957	0.2173913043	ref_001201	0.28261	0.05306146939	0.187755102	0.6388888889	161	0.9469385306	0.9589326844	gen_114	0.663264	0.336736							3	0.3433987466
gen_130	120	not_detected	0	1000	0	False	0	23	18	6	0.7826086957	0.2608695652	ref_000512	0.27778	0.125001	0.45	0.75	995	0.874999	0.7714808489	gen_121	0.5000020833	0.4999979167							3	0.3219743737
gen_51	101	not_detected	0	1000	0	False	0	23	19	8	0.8260869565	0.347826087	ref_000171	0.30233	0.1287147525	0.4257425743	0.4479166667	866	0.8712852475	0.6844221325	gen_11	0.62832	0.37168							3	0.2016289349
gen_89	96	not_detected	0	1000	0	False	0	23	16	6	0.6956521739	0.2608695652	ref_000885	0.275	0.07692307692	0.4166666667	0.2797202797	349	0.9230769231	0.6523092756	gen_156	0.7708341667	0.2291658333							3	0.1160708345
gen_114	444	not_detected	0	1000	0	False	0	23	18	5	0.7826086957	0.2173913043	ref_001201	0.29545	0.05855765766	0.1981981982	0.6111111111	199	0.9414423423	0.9566815893	gen_187	0.663264	0.336736							4	inf
gen_138	94	not_detected	0	1000	0	False	0	23	16	6	0.6956521739	0.2608695652	ref_000267	0.57143	0.08421073684	0.1489361702	0.1473684211	10	0.9157892632	0.6334546564	gen_156	0.851067234	0.148932766							4	inf
gen_168	305	not_detected	0	1000	0	False	0	23	18	3	0.7826086957	0.1304347826	ref_001209	0.28986	0.06557488525	0.2262295082	0.5187969925	328	0.9344251148	0.9580522165	gen_75	0.8431330719	0.1568669281							4	inf
gen_18	126	not_detected	0	1000	0	False	0	23	18	6	0.7826086957	0.2608695652	ref_000977	0.36	0.1333333333	0.3968253968	0.3703703704	776	0.8666666667	0.7266586997	gen_159	0.62698	0.37302							4	inf
gen_197	97	not_detected	0	1000	0	False	0	23	16	8	0.6956521739	0.347826087	ref_000682	0.30233	0.1340225773	0.4432989691	0.4432989691	430	0.8659774227	0.676464401	gen_166	0.6632692857	0.3367307143							4	inf
gen_198	93	not_detected	0	1000	0	False	0	23	15	7	0.652173913	0.3043478261	ref_000347	0.24242	0.08602	0.3548387097	0.3586956522	738	0.91398	0.6469379809	gen_156	0.86022	0.13978							4	inf
gen_20	81	not_detected	0	1000	0	False	0	23	16	6	0.6956521739	0.2608695652	ref_000296	0.35938	0.2839545679	0.7901234568	0.8767123288	3.3	0.7160454321	0.8857439564	gen_99	0.3508785088	0.6491214912							4	inf
gen_128	93	not_detected	0	1000	0	False	0	23	15	6	0.652173913	0.2608695652	ref_000426	0.27119	0.1720452688	0.6344086022	0.6781609195	65	0.8279547312	0.7304754946	gen_110	0.6344043011	0.3655956989							4	1.155290952
gen_26	102	not_detected	0	1000	0	False	0	23	15	7	0.652173913	0.3043478261	ref_000319	0.35294	0.1176466667	0.3333333333	0.3736263736	61	0.8823533333	0.7142950246	gen_86	0.6078417647	0.3921582353							4	0.4577588578
gen_196	91	not_detected	0	1000	0	False	0	23	16	8	0.6956521739	0.347826087	ref_000812	0.30769	0.1318671429	0.4285714286	0.4382022472	156	0.8681328571	0.6495894511	gen_176	0.7934736957	0.2065263043							4	0.3547381262
gen_66	94	not_detected	0	1000	0	False	0	23	16	7	0.6956521739	0.3043478261	ref_000616	0.3913	0.09090808081	0.2446808511	0.2323232323	309	0.9090919192	0.7019765792	gen_145	0.6063856383	0.3936143617							4	0.2493178682
gen_121	114	not_detected	0	1000	0	False	0	23	17	6	0.7391304348	0.2608695652	ref_000172	0.38462	0.08772035088	0.2280701754	0.2680412371	288	0.9122796491	0.6745749889	gen_111	0.6666702632	0.3333297368							4	0.1044812237
gen_116	100	not_detected	0	1000	0	False	0	23	16	6	0.6956521739	0.2608695652	ref_000272	0.27027	0.1999998	0.74	0.8043478261	256	0.8000002	0.7143549909	gen_63	0.6199986	0.3800014							5	inf
gen_131	94	not_detected	0	1000	0	False	0	23	16	8	0.6956521739	0.347826087	ref_001145	0.35135	0.1382973404	0.3936170213	0.4352941176	395	0.8617026596	0.6312333628	gen_7	0.7765912766	0.2234087234							5	inf
gen_135	98	not_detected	0	1000	0	False	0	23	17	8	0.7391304348	0.347826087	ref_000573	0.34043	0.163267449	0.4795918367	0.6351351351	24	0.836732551	0.6633703167	gen_106	0.6831686139	0.3168313861							5	inf
gen_184	112	not_detected	0	1000	0	False	0	23	16	7	0.6956521739	0.3043478261	ref_000074	0.39024	0.1428557143	0.3660714286	0.4505494505	144	0.8571442857	0.705566845	gen_182	0.6371709735	0.3628290265							5	inf
gen_22	112	not_detected	0	1000	0	False	0	23	16	7	0.6956521739	0.3043478261	ref_000138	0.41379	0.1071420536	0.2589285714	0.3152173913	773	0.8928579464	0.6824036861	gen_52	0.6964271429	0.3035728571							5	inf
gen_31	305	not_detected	0	1000	0	False	0	23	18	3	0.7826086957	0.1304347826	ref_001209	0.28986	0.06557488525	0.2262295082	0.5187969925	337	0.9344251148	0.9569026583	gen_75	0.86928	0.13072							5	inf
gen_37	114	not_detected	0	1000	0	False	0	23	16	5	0.6956521739	0.2173913043	ref_000105	0.26027	0.1666641228	0.6403508772	0.8295454545	710	0.8333358772	0.8233387001	gen_99	0.8947403509	0.1052596491							5	0.8756873042
gen_172	304	not_detected	0	1000	0	False	0	23	18	4	0.7826086957	0.1739130435	ref_000940	0.30986	0.07236861842	0.2335526316	0.5035460993	642	0.9276313816	0.9498619864	gen_75	0.8398645752	0.1601354248							5	0.7577891576
gen_69	103	not_detected	0	1000	0	False	0	23	16	5	0.6956521739	0.2173913043	ref_001064	0.28358	0.1557365574	0.6504854369	0.5491803279	673	0.8442634426	0.7974296379	gen_99	0.7105276316	0.2894723684							5	0.438881694
gen_83	84	not_detected	0	1000	0	False	0	23	22	4	0.9565217391	0.1739130435	ref_001116	0.34146	0.121737913	0.4880952381	0.3565217391	977	0.878262087	0.9521698591	gen_62	0.90476	0.09524							5	0.3341659416
gen_149	87	not_detected	0	1000	0	False	0	23	15	5	0.652173913	0.2173913043	ref_001068	0.28889	0.08783817568	0.5172413793	0.3040540541	818	0.9121618243	0.6532970204	gen_156	0.7634390323	0.2365609677							5	0.3096874665
gen_155	98	not_detected	0	1000	0	False	0	23	17	6	0.7391304348	0.2608695652	ref_000054	0.27273	0.09183765306	0.3367346939	0.4074074074	382	0.9081623469	0.6668008189	gen_36	0.730004	0.269996							5	0.2952265069
gen_62	84	not_detected	0	1000	0	False	0	23	22	5	0.9565217391	0.2173913043	ref_000527	0.28333	0.197672093	0.7142857143	0.6976744186	47	0.802327907	0.9527943	gen_83	0.90476	0.09524							5	0.2625198722
gen_154	121	not_detected	0	1000	0	False	0	23	19	6	0.8260869565	0.2608695652	ref_001222	0.3125	0.1239669421	0.3966942149	0.6315789474	40	0.8760330579	0.7035164202	gen_170	0.5785152893	0.4214847107							5	0.1828309439
gen_63	97	not_detected	0	1000	0	False	0	23	16	7	0.6956521739	0.3043478261	ref_000345	0.3125	0.1030927835	0.3298969072	0.3555555556	152	0.8969072165	0.6384512613	gen_7	0.793811134	0.206188866							5	0.1692213305
gen_140	97	not_detected	0	1000	0	False	0	23	16	6	0.6956521739	0.2608695652	ref_000169	0.47368	0.09278268041	0.1958762887	0.2209302326	144	0.9072173196	0.6861427053	gen_147	0.8762845361	0.1237154639							5	0.1485567612
gen_73	103	not_detected	0	1000	0	False	0	23	16	7	0.6956521739	0.3043478261	ref_000812	0.45	0.08737864078	0.1941747573	0.2247191011	21	0.9126213592	0.6329750745	gen_86	0.8349541748	0.1650458252							5	0.1372428154
gen_61	114	not_detected	0	1000	0	False	0	23	16	5	0.6956521739	0.2173913043	ref_000882	0.24468	0.1654670504	0.8245614035	0.6762589928	11	0.8345329496	0.8078340688	gen_127	0.87719	0.12281							5	0.104824542
gen_0	99	not_detected	0	1000	0	False	0	23	16	4	0.6956521739	0.1739130435	ref_001143	0.43478	0.0813003252	0.2323232323	0.1869918699	92	0.9186996748	0.6525072922	gen_36	0.7800008	0.2199992							6	inf
gen_11	113	not_detected	0	1000	0	False	0	23	16	8	0.6956521739	0.347826087	ref_001093	0.31461	0.1931054483	0.7876106195	0.6137931034	240	0.8068945517	0.6600510972	gen_70	0.6902663717	0.3097336283							6	inf
gen_137	93	not_detected	0	1000	0	False	0	23	16	7	0.6956521739	0.3043478261	ref_001205	0.375	0.1111111111	0.4301075269	0.2962962963	869	0.8888888889	0.6367068118	gen_156	0.88172	0.11828							6	inf
gen_182	113	not_detected	0	1000	0	False	0	23	16	8	0.6956521739	0.347826087	ref_000215	0.32308	0.1858424779	0.5752212389	0.7738095238	96	0.8141575221	0.648491062	gen_111	0.743360708	0.256639292							6	inf
