selection_rank	sequence_id	length	domain_status	domain_score	domain_evalue	model_coverage	domain_pass	constraint_score	conserved_sites_total	conserved_sites_covered	conserved_sites_matched	conservation_coverage	conservation_score	closest_reference_id	closest_reference_pident	closest_reference_effective_identity	closest_reference_query_coverage	closest_reference_target_coverage	closest_reference_evalue	novelty_score	uniqueness_score	nearest_candidate_id	nearest_candidate_identity	nearest_candidate_distance	sequence_evalue	sequence_score	hmm_from	hmm_to	alignment_from	alignment_to	selected_by_metric	source_metric_rank
11	gen_45	319	not_detected	0	1000	0	False	0	23	22	10	0.9565217391	0.4347826087	ref_001011	0.4375	0.04388714734	0.1003134796	0.237037037	84	0.9561128527	0.9616740998	gen_59	0.4984333542	0.5015666458							novelty_score	3
12	gen_113	301	not_detected	0	1000	0	False	0	23	21	8	0.9130434783	0.347826087	ref_000268	0.25743	0.08638016611	0.3355481728	1.02020202	202	0.9136198339	0.9784135981	gen_168	0.2622920656	0.7377079344							uniqueness_score	4
13	gen_101	71	detected	59.3	3.1e-18	1	True	0.8971291866	23	23	22	1	0.9565217391	ref_000861	0.90141	0.90141	1	1	4.32e-42	0.09859	0.930038423	gen_161	0.7887338028	0.2112661972	2.3e-18	59.8	1	39	11	49	constraint_score	4
14	gen_179	87	detected	54.8	8.3e-17	1	True	0.5693779904	23	23	23	1	1	ref_000674	0.88636	0.896548046	1.011494253	1.011494253	1.56e-48	0.103451954	0.9164595539	gen_67	0.8043494565	0.1956505435	8.3e-17	54.8	1	39	11	49	conservation_score	5
15	gen_72	512	not_detected	0	1000	0	False	0	23	18	5	0.7826086957	0.2173913043	ref_001201	0.28409	0.04882796875	0.171875	0.6111111111	306	0.9511720313	0.9598578751	gen_187	0.6464822266	0.3535177734							novelty_score	4
16	gen_146	307	not_detected	0	1000	0	False	0	23	19	4	0.8260869565	0.1739130435	ref_001142	0.28767	0.06840361564	0.2377850163	0.5328467153	15	0.9315963844	0.9768756682	gen_2	0.1188397681	0.8811602319							uniqueness_score	5
17	gen_199	120	detected	59.3	3.2e-18	1	True	0.8971291866	23	21	13	0.9130434783	0.5652173913	ref_000864	0.73418	0.4833351667	0.6583333333	0.7117117117	6.21e-36	0.5166648333	0.9448730583	gen_56	0.4500026667	0.5499973333	2.4e-18	59.7	1	39	20	58	constraint_score	5
18	gen_194	99	detected	56.8	2e-17	1	True	0.7105263158	23	23	23	1	1	ref_000329	0.76289	0.7474780808	0.9797979798	1.010416667	1.31e-44	0.2525219192	0.9367923096	gen_142	0.6565687879	0.3434312121	1.3e-17	57.3	1	39	10	48	conservation_score	6
19	gen_124	282	not_detected	0	1000	0	False	0	23	13	6	0.5652173913	0.2608695652	ref_000869	0.51852	0.04964553191	0.09574468085	0.375	26	0.9503544681	0.9532065763	gen_59	0.3714311111	0.6285688889							novelty_score	5
20	gen_78	105	not_detected	0	1000	0	False	0	23	0	0	0	0	ref_000478	0.43243	0.1523800952	0.3523809524	0.4111111111	715	0.8476199048	0.9694536722	gen_111	0.1909096364	0.8090903636							uniqueness_score	6
