reference_id	source_path	source_id	source_header	sequence_sha256	length	accepted	unique_representative	status
nat_49d3875a5ef4bbb644f9	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_49d3875a5ef4bbb644f9	nat_49d3875a5ef4bbb644f9	49d3875a5ef4bbb644f930139f267d2cc4e3bdfbfd30dde28aab18149bc1f254	95	True	True	prevalidated_reference_input
nat_1e070d0d2387bb202235	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_1e070d0d2387bb202235	nat_1e070d0d2387bb202235	1e070d0d2387bb202235dd365948f4b25f48059ea4c98d3578571e9cd7eb12bb	75	True	True	prevalidated_reference_input
nat_38cb7bda240a833d36b3	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_38cb7bda240a833d36b3	nat_38cb7bda240a833d36b3	38cb7bda240a833d36b384add457f6a14c4bac92c8bfa58639724187005025d1	95	True	True	prevalidated_reference_input
nat_8f3e753527c876cd94f0	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_8f3e753527c876cd94f0	nat_8f3e753527c876cd94f0	8f3e753527c876cd94f0f40735a536faf3fc90a3524a79b993b998a48495383b	95	True	True	prevalidated_reference_input
nat_144165ea4d3ea8a64b2e	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_144165ea4d3ea8a64b2e	nat_144165ea4d3ea8a64b2e	144165ea4d3ea8a64b2e97fd557e53d485b05e168aefc547e39ea8dc8fed59dd	95	True	True	prevalidated_reference_input
nat_d5c2d4101839c4dee9b6	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_d5c2d4101839c4dee9b6	nat_d5c2d4101839c4dee9b6	d5c2d4101839c4dee9b608bbafd0bb712b3bb5cc8e8bb373c074eb48f72d3a9b	86	True	True	prevalidated_reference_input
nat_13dff233b6dfd04cb79c	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_13dff233b6dfd04cb79c	nat_13dff233b6dfd04cb79c	13dff233b6dfd04cb79ca09d72c28e71d76c7ac1c59a0f75ad568a11420b75ee	76	True	True	prevalidated_reference_input
nat_f5db5c4704d592f947d9	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_f5db5c4704d592f947d9	nat_f5db5c4704d592f947d9	f5db5c4704d592f947d9390e9bcd6afde1ac2a8c4b44472ec28636a4e3ab47c5	82	True	True	prevalidated_reference_input
nat_fc382b09fdd1c909c75c	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_fc382b09fdd1c909c75c	nat_fc382b09fdd1c909c75c	fc382b09fdd1c909c75ca87f66ed2c98f5b6601cc069a0d6df8ae25285c11467	93	True	True	prevalidated_reference_input
nat_4482775e0979509e45d2	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_4482775e0979509e45d2	nat_4482775e0979509e45d2	4482775e0979509e45d23f6ca737a7fdb6814c225930bbcb113f82d33d585228	95	True	True	prevalidated_reference_input
nat_edc787924d6392f7c1f5	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_edc787924d6392f7c1f5	nat_edc787924d6392f7c1f5	edc787924d6392f7c1f5e5e00d1e49e457b29997f69ad3227883a383e8273b5b	94	True	True	prevalidated_reference_input
nat_e9d0d8807aee29d8e61c	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_e9d0d8807aee29d8e61c	nat_e9d0d8807aee29d8e61c	e9d0d8807aee29d8e61cc5812e5272da20f42b2eb9c88bded666404669277156	71	True	True	prevalidated_reference_input
nat_39cf0fd21702af1ff2b1	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_39cf0fd21702af1ff2b1	nat_39cf0fd21702af1ff2b1	39cf0fd21702af1ff2b1a85e7f95803ffe5d465cb6cae8e617df8798b8c9f644	69	True	True	prevalidated_reference_input
nat_de6e45b17a1efe79f377	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_de6e45b17a1efe79f377	nat_de6e45b17a1efe79f377	de6e45b17a1efe79f37778d836358d826a304d076e7019714203a05f82787777	74	True	True	prevalidated_reference_input
nat_73e0b5aa88a198c56cae	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_73e0b5aa88a198c56cae	nat_73e0b5aa88a198c56cae	73e0b5aa88a198c56caeea07f42134079d2b868fcd0dbd1b9bc7234b4f64666a	87	True	True	prevalidated_reference_input
nat_cd0ec9cc83e20bd818b3	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_cd0ec9cc83e20bd818b3	nat_cd0ec9cc83e20bd818b3	cd0ec9cc83e20bd818b34c3d6e32229ae82b1f4b803ad5a686041fe792cfa0b4	86	True	True	prevalidated_reference_input
nat_76418c5d471b2873e6bf	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_76418c5d471b2873e6bf	nat_76418c5d471b2873e6bf	76418c5d471b2873e6bfd66246e1ddea8c46c09677d508ca4d85d7ddc4b66838	86	True	True	prevalidated_reference_input
nat_7801d96d034213cf08c8	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_7801d96d034213cf08c8	nat_7801d96d034213cf08c8	7801d96d034213cf08c8a094d7cac15ce9d441b0b84d59a3a397698d01a086b2	84	True	True	prevalidated_reference_input
nat_b9d147aeaac9ffa9d0f3	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_b9d147aeaac9ffa9d0f3	nat_b9d147aeaac9ffa9d0f3	b9d147aeaac9ffa9d0f345cb4414f298f5fcd7bdcb541313ba9f90ed1cf3a920	87	True	True	prevalidated_reference_input
nat_7d8f193406ee761e1417	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_7d8f193406ee761e1417	nat_7d8f193406ee761e1417	7d8f193406ee761e1417644f12663163f20f02aa96aa9ac9a3e9967ae45736db	95	True	True	prevalidated_reference_input
nat_f87e80c34ba5c8c8909b	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_f87e80c34ba5c8c8909b	nat_f87e80c34ba5c8c8909b	f87e80c34ba5c8c8909bbdd240615676baff89720ec7c271d2c949964d53bfc2	87	True	True	prevalidated_reference_input
nat_38a86b2caad8351d20f8	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_38a86b2caad8351d20f8	nat_38a86b2caad8351d20f8	38a86b2caad8351d20f84009e4f3fadc81641af9267c4634244814993c1e259b	70	True	True	prevalidated_reference_input
nat_63e94d96149b61e3547f	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_63e94d96149b61e3547f	nat_63e94d96149b61e3547f	63e94d96149b61e3547fb620a3561727505e40a05520085d6a7b53eda6afbc7c	87	True	True	prevalidated_reference_input
nat_4f76b230eb60279eb5dd	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_4f76b230eb60279eb5dd	nat_4f76b230eb60279eb5dd	4f76b230eb60279eb5dd9727b6fef53befa7b01de4543a47effc9d7219b9b6ea	95	True	True	prevalidated_reference_input
nat_6b94719ca1a990ee1d8f	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_6b94719ca1a990ee1d8f	nat_6b94719ca1a990ee1d8f	6b94719ca1a990ee1d8f7fe4a2780bb99c98d3599cd6abe8080921d204b422e4	87	True	True	prevalidated_reference_input
nat_943ce15fb7773fa3a769	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_943ce15fb7773fa3a769	nat_943ce15fb7773fa3a769	943ce15fb7773fa3a769b10eef21ff74af8e9455a035ac627206a70f67094829	94	True	True	prevalidated_reference_input
nat_970873de163a6ff8ee05	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_970873de163a6ff8ee05	nat_970873de163a6ff8ee05	970873de163a6ff8ee058480a3869a5416b54bf5594fe27fbb5156104085a425	88	True	True	prevalidated_reference_input
nat_440c141d3d83ed043c33	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_440c141d3d83ed043c33	nat_440c141d3d83ed043c33	440c141d3d83ed043c333614417693fd89f0dfdca16a4ae6872273ea898aeb50	76	True	True	prevalidated_reference_input
nat_476885d73f2103224b29	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_476885d73f2103224b29	nat_476885d73f2103224b29	476885d73f2103224b292d5d842a8afc0794641e93e8e2d399aaf3c10eaa833c	84	True	True	prevalidated_reference_input
nat_5d20f105b230fcb464d1	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_5d20f105b230fcb464d1	nat_5d20f105b230fcb464d1	5d20f105b230fcb464d172f5f60beb5d3a0433f4d04c11d7e3b12442a0876f1f	78	True	True	prevalidated_reference_input
nat_92d7d81f95603487cd9c	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_92d7d81f95603487cd9c	nat_92d7d81f95603487cd9c	92d7d81f95603487cd9c2e6f2b9a057290f97368162a627c34d4db46064b5d78	95	True	True	prevalidated_reference_input
nat_4f811102c58fb8e77080	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_4f811102c58fb8e77080	nat_4f811102c58fb8e77080	4f811102c58fb8e77080f5dd3e87eca3f86feb91a847119b6ffe487ef0fe11f1	78	True	True	prevalidated_reference_input
nat_b47c8eec954491beb714	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_b47c8eec954491beb714	nat_b47c8eec954491beb714	b47c8eec954491beb71449c63366fd48ba5dce86743a074cbdbe978a2a2b450c	95	True	True	prevalidated_reference_input
nat_004ac783975534947324	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_004ac783975534947324	nat_004ac783975534947324	004ac7839755349473240380f645fff65b298b81cd7212d8be9f25d268874df0	94	True	True	prevalidated_reference_input
nat_07f90c8c92dbdb92b94e	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_07f90c8c92dbdb92b94e	nat_07f90c8c92dbdb92b94e	07f90c8c92dbdb92b94e1c4becf058d78867504d7c200a8ac59420a67443e648	95	True	True	prevalidated_reference_input
nat_5c03f7861ccf36dc0533	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_5c03f7861ccf36dc0533	nat_5c03f7861ccf36dc0533	5c03f7861ccf36dc05336cbb110d6b9466b83c837a45b4254d8ee83f1acb7937	84	True	True	prevalidated_reference_input
nat_4cea385a8794a0b112c3	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_4cea385a8794a0b112c3	nat_4cea385a8794a0b112c3	4cea385a8794a0b112c3718b48635d7251fd2b54c59d9aaf7a1aa68ef55f0934	94	True	True	prevalidated_reference_input
nat_4e9e86277af05dbd050d	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_4e9e86277af05dbd050d	nat_4e9e86277af05dbd050d	4e9e86277af05dbd050d6026de986c169c801caeb1df279e98d79b71f7f662b6	94	True	True	prevalidated_reference_input
nat_0a6194eed91a047cb43e	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_0a6194eed91a047cb43e	nat_0a6194eed91a047cb43e	0a6194eed91a047cb43e42df86660279db231e8e43de2021d1f6bd61c0de9318	84	True	True	prevalidated_reference_input
nat_ea5746ec582bf06f4e03	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_ea5746ec582bf06f4e03	nat_ea5746ec582bf06f4e03	ea5746ec582bf06f4e03026eb672c30524a41db3d8f7504c2c6530701baaefa7	72	True	True	prevalidated_reference_input
nat_edf12e96625a3cd49854	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_edf12e96625a3cd49854	nat_edf12e96625a3cd49854	edf12e96625a3cd498543a51165a1fe2582809ab9abb59ead2892e6153bce04a	86	True	True	prevalidated_reference_input
nat_d9b751580230ca0e5773	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_d9b751580230ca0e5773	nat_d9b751580230ca0e5773	d9b751580230ca0e5773c57e4ce813ad00b52f3d761de387a4ceb48a8b983c68	85	True	True	prevalidated_reference_input
nat_4d4e00d31d935ed0527d	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_4d4e00d31d935ed0527d	nat_4d4e00d31d935ed0527d	4d4e00d31d935ed0527dea10b018697cb7c3f72bf199a24b36075804bc95f4cd	95	True	True	prevalidated_reference_input
nat_4132d6e9996d37d7483a	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_4132d6e9996d37d7483a	nat_4132d6e9996d37d7483a	4132d6e9996d37d7483a43399d0cf509931b6bc7ffe8affe4d8014ed5a994667	92	True	True	prevalidated_reference_input
nat_fca422d4ddd5dcd65605	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_fca422d4ddd5dcd65605	nat_fca422d4ddd5dcd65605	fca422d4ddd5dcd65605aca73a48825de01049d9d8a1773ef99115068238d3f9	96	True	True	prevalidated_reference_input
nat_d4bbfd09a62903f1dd61	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_d4bbfd09a62903f1dd61	nat_d4bbfd09a62903f1dd61	d4bbfd09a62903f1dd61a6f9ad8db51b9835b18fbf9766c780f6719f9f1e9643	94	True	True	prevalidated_reference_input
nat_fd90bc846ac4fc169df6	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_fd90bc846ac4fc169df6	nat_fd90bc846ac4fc169df6	fd90bc846ac4fc169df6b72c6d79f22f65e19b6288aa31b62ee0ef2b7fbcbd95	92	True	True	prevalidated_reference_input
nat_6cb2a4a67fad0b3f22b1	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_6cb2a4a67fad0b3f22b1	nat_6cb2a4a67fad0b3f22b1	6cb2a4a67fad0b3f22b180db738bb3f59efd73950cd7b341fdf1ef17aafa121f	74	True	True	prevalidated_reference_input
nat_340bf83afc765d1b00fd	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_340bf83afc765d1b00fd	nat_340bf83afc765d1b00fd	340bf83afc765d1b00fdd15c36a88211b6ccc7b1557c106bec83457cd9bb095b	78	True	True	prevalidated_reference_input
nat_833a1708482ad34125e2	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_833a1708482ad34125e2	nat_833a1708482ad34125e2	833a1708482ad34125e281ec9a7bb5ff185d6b74e637c9a4e71748011be93051	98	True	True	prevalidated_reference_input
nat_0aeb545239a28bae61f9	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_0aeb545239a28bae61f9	nat_0aeb545239a28bae61f9	0aeb545239a28bae61f99fbd60bce02d7f124f3277108fc0d913126d6222ba8b	86	True	True	prevalidated_reference_input
nat_ce5dc523b5749c0ad99a	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_ce5dc523b5749c0ad99a	nat_ce5dc523b5749c0ad99a	ce5dc523b5749c0ad99a93b9d53e7343c2df1a582dcc1045a1caf959b34254dd	87	True	True	prevalidated_reference_input
nat_9fda348180c612303cdb	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_9fda348180c612303cdb	nat_9fda348180c612303cdb	9fda348180c612303cdb7da49eec263f1c4a969cd97d7811ee7730f5dc5f4d4e	95	True	True	prevalidated_reference_input
nat_0145b7d0415b25474bf7	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_0145b7d0415b25474bf7	nat_0145b7d0415b25474bf7	0145b7d0415b25474bf7a3c8e0a8c493009e798905f413a70669e51a92c9c25b	95	True	True	prevalidated_reference_input
nat_64b87c36790fe3acd4ba	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_64b87c36790fe3acd4ba	nat_64b87c36790fe3acd4ba	64b87c36790fe3acd4baa751c7e30662ba7fd5dddd03a8f17f2a097d90e9a793	94	True	True	prevalidated_reference_input
nat_0da4fc315e8c5fa1925f	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_0da4fc315e8c5fa1925f	nat_0da4fc315e8c5fa1925f	0da4fc315e8c5fa1925fb0764a91af43de57873340a143b142e0b66ac5307abb	76	True	True	prevalidated_reference_input
nat_62b65b4bdaad5382b6fd	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_62b65b4bdaad5382b6fd	nat_62b65b4bdaad5382b6fd	62b65b4bdaad5382b6fd1a8fe84b861f9f2785c845ef6d5232a5858759e89434	76	True	True	prevalidated_reference_input
nat_644a625ed987b37152d8	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_644a625ed987b37152d8	nat_644a625ed987b37152d8	644a625ed987b37152d8accd5afc91e83fbb7aa608bf5b736cb83e597789259b	76	True	True	prevalidated_reference_input
nat_3dd2d389f45d6f0511d2	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_3dd2d389f45d6f0511d2	nat_3dd2d389f45d6f0511d2	3dd2d389f45d6f0511d21268defb0f34c51a26455c8e3504fb137cf688b87ebe	93	True	True	prevalidated_reference_input
nat_bf00fc1bb4a6bea076a5	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_bf00fc1bb4a6bea076a5	nat_bf00fc1bb4a6bea076a5	bf00fc1bb4a6bea076a5150d4d94cbb2a3a41994343dd8761a39ebcf83a45c14	95	True	True	prevalidated_reference_input
nat_1f1d6fdb82f348ed948e	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_1f1d6fdb82f348ed948e	nat_1f1d6fdb82f348ed948e	1f1d6fdb82f348ed948e69813ca969e1811e69f665260cf74fa3f7a057c84e99	84	True	True	prevalidated_reference_input
nat_fe2e069c7d192a9aa4be	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_fe2e069c7d192a9aa4be	nat_fe2e069c7d192a9aa4be	fe2e069c7d192a9aa4be872c95d8c541ca761882f3f5cd67653cf6f33ac13f55	92	True	True	prevalidated_reference_input
nat_dc2b0da282a1a334132b	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_dc2b0da282a1a334132b	nat_dc2b0da282a1a334132b	dc2b0da282a1a334132b94fa6b433ee40a84ca23e7aee931a5e7e57eca9070ad	102	True	True	prevalidated_reference_input
nat_eb796c25a48cdf2ca2d4	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_eb796c25a48cdf2ca2d4	nat_eb796c25a48cdf2ca2d4	eb796c25a48cdf2ca2d4dadeba00b8fcbecdd1aafff9a5f2eef1c0b32866c085	82	True	True	prevalidated_reference_input
nat_4a87fc740463a61b2d05	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_4a87fc740463a61b2d05	nat_4a87fc740463a61b2d05	4a87fc740463a61b2d05a11bcb05ac53e96820f7fa9f523dbb26076210cd1f90	109	True	True	prevalidated_reference_input
nat_b9de124a92fba0281b06	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_b9de124a92fba0281b06	nat_b9de124a92fba0281b06	b9de124a92fba0281b06c043a18713db03fec66b97dafd593654c7d8ee4bdae4	93	True	True	prevalidated_reference_input
nat_140f5823a50b88bf41c9	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_140f5823a50b88bf41c9	nat_140f5823a50b88bf41c9	140f5823a50b88bf41c9cf8f0ecce11b98c5f03d7189a529d0efadf5d087eb18	93	True	True	prevalidated_reference_input
nat_461115b7000bfd74f566	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_461115b7000bfd74f566	nat_461115b7000bfd74f566	461115b7000bfd74f56636de688b3e75d1a99451a35df65d49a6e139de49cbf1	96	True	True	prevalidated_reference_input
nat_bc61cfaf37743c96bcc0	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_bc61cfaf37743c96bcc0	nat_bc61cfaf37743c96bcc0	bc61cfaf37743c96bcc099f173009a97501e9412f819aabc6f95ac7091dec987	93	True	True	prevalidated_reference_input
nat_fa2383cbfbff83286c61	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_fa2383cbfbff83286c61	nat_fa2383cbfbff83286c61	fa2383cbfbff83286c6190e5f9ab210e692563b8c092e007a6f07b929ad5936a	96	True	True	prevalidated_reference_input
nat_0ae199fc6d044a2da135	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_0ae199fc6d044a2da135	nat_0ae199fc6d044a2da135	0ae199fc6d044a2da1351509b524fc07b4da56bff0ab0a0763d56a10601c206a	95	True	True	prevalidated_reference_input
nat_dca06c4ca76aafac96e9	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_dca06c4ca76aafac96e9	nat_dca06c4ca76aafac96e9	dca06c4ca76aafac96e935b72d0eee29c4619e4488f965d6467f9755e642ab6b	97	True	True	prevalidated_reference_input
nat_c7cb28cf54b6a88ff785	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_c7cb28cf54b6a88ff785	nat_c7cb28cf54b6a88ff785	c7cb28cf54b6a88ff785e5323cd1bdbffa96279c0b39492eeb6a14c7568905bc	99	True	True	prevalidated_reference_input
nat_5577d4ac8367231fcec5	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_5577d4ac8367231fcec5	nat_5577d4ac8367231fcec5	5577d4ac8367231fcec50f83da91db8ca882c0dc8629ac4a66b76fa0e8de5f57	93	True	True	prevalidated_reference_input
nat_c5a4c69d0879da5e6614	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_c5a4c69d0879da5e6614	nat_c5a4c69d0879da5e6614	c5a4c69d0879da5e661497a4711c5ba745137829a29919810698fe674bd10d27	97	True	True	prevalidated_reference_input
nat_d6e9dabc7155ae370ddb	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_d6e9dabc7155ae370ddb	nat_d6e9dabc7155ae370ddb	d6e9dabc7155ae370ddb09e0bae20bdbc48caa253ce39756dca03bc4a0e50d8b	95	True	True	prevalidated_reference_input
nat_05a00477d12701f3890c	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_05a00477d12701f3890c	nat_05a00477d12701f3890c	05a00477d12701f3890c1dd96656653d2f67adee9a1f126760ee634cb9b35334	95	True	True	prevalidated_reference_input
nat_75679c0d4db585656573	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_75679c0d4db585656573	nat_75679c0d4db585656573	75679c0d4db585656573044908e13a67effd912339ddc8eec2ed6e7a995e9417	92	True	True	prevalidated_reference_input
nat_8d29ff35edf68fc809de	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_8d29ff35edf68fc809de	nat_8d29ff35edf68fc809de	8d29ff35edf68fc809deca67c394601f9988a9628d0099af15ed1cb1d44b7a5f	95	True	True	prevalidated_reference_input
nat_ee10b37a92559cba1989	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_ee10b37a92559cba1989	nat_ee10b37a92559cba1989	ee10b37a92559cba1989732ac44f05e8bde57068b78b573e193360b62d897bf7	92	True	True	prevalidated_reference_input
nat_f49fe3672d6fdfda7cc7	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_f49fe3672d6fdfda7cc7	nat_f49fe3672d6fdfda7cc7	f49fe3672d6fdfda7cc7ec0b9a4f54af44ee8f53326ed5f3c0b281e5a61cd93b	95	True	True	prevalidated_reference_input
nat_53979ea823175001b77b	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_53979ea823175001b77b	nat_53979ea823175001b77b	53979ea823175001b77b6bbf60f4288bd1629111bcc1c87c4ca10c6e175c17e6	95	True	True	prevalidated_reference_input
nat_84eddb9c9ecca10afd5a	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_84eddb9c9ecca10afd5a	nat_84eddb9c9ecca10afd5a	84eddb9c9ecca10afd5a775c11e3d7bab42a1aff8c6bad25b1b013a542f3bc54	99	True	True	prevalidated_reference_input
