sequence_id	pool	accession	accession_base	model_name	env_start_1based	env_end_1based	bit_score	i_evalue	hmm_start_1based	hmm_end_1based	hmm_length	hmm_span_fraction	reference_sequences_with_accession
nat_3ca11356bba8d59e0a37	reference	PF00741.24	PF00741	Gas_vesicle	8	46	44.39308547973633	9.958401832662168e-13	1	39	39	1.0	346
nat_3cc2cb889cfdbbcaa17b	reference	PF00741.24	PF00741	Gas_vesicle	8	46	54.95024490356445	5.003235572495518e-16	1	39	39	1.0	346
nat_3d7fc725cd17cf23a73c	reference	PF00741.24	PF00741	Gas_vesicle	12	50	58.296321868896484	4.504607237399569e-17	1	39	39	1.0	346
nat_3d9edce97c58d4805f58	reference	PF00741.24	PF00741	Gas_vesicle	17	55	47.80875015258789	8.528067143049938e-14	1	39	39	1.0	346
nat_3dd2d389f45d6f0511d2	reference	PF00741.24	PF00741	Gas_vesicle	10	48	52.805389404296875	2.3414399307703105e-15	1	39	39	1.0	346
nat_3e013aaa6defa9421798	reference	PF00741.24	PF00741	Gas_vesicle	9	47	52.0882568359375	3.922610206547519e-15	1	39	39	1.0	346
nat_3e6bf91c590be6684eed	reference	PF00741.24	PF00741	Gas_vesicle	12	50	59.93069839477539	1.3897642801072327e-17	1	39	39	1.0	346
nat_40df730c74b4411daafa	reference	PF00741.24	PF00741	Gas_vesicle	21	59	50.604312896728516	1.1409936562075238e-14	2	39	39	0.9743589743589743	346
nat_4132d6e9996d37d7483a	reference	PF00741.24	PF00741	Gas_vesicle	12	50	59.2669677734375	2.240505676254514e-17	1	39	39	1.0	346
nat_42d774e2b731f8e5de6a	reference	PF00741.24	PF00741	Gas_vesicle	8	46	44.39308547973633	9.958401832662168e-13	1	39	39	1.0	346
nat_438c70c6875cb7fc8740	reference	PF00741.24	PF00741	Gas_vesicle	21	59	50.604312896728516	1.1409936562075238e-14	2	39	39	0.9743589743589743	346
nat_43e7561c7d05facf2895	reference	PF00741.24	PF00741	Gas_vesicle	16	54	47.17336654663086	1.3470928722427242e-13	1	39	39	1.0	346
nat_440c141d3d83ed043c33	reference	PF00741.24	PF00741	Gas_vesicle	8	46	51.37739944458008	6.5419376092829045e-15	1	39	39	1.0	346
nat_444b2346dad8b8d36df2	reference	PF00741.24	PF00741	Gas_vesicle	11	49	59.44865036010742	1.9659534401141762e-17	1	39	39	1.0	346
nat_4469cb3e6c41fb1309a3	reference	PF00741.24	PF00741	Gas_vesicle	19	57	43.280860900878906	2.2168766833672258e-12	1	39	39	1.0	346
nat_4482775e0979509e45d2	reference	PF00741.24	PF00741	Gas_vesicle	12	50	59.09444808959961	2.5366211687485514e-17	1	39	39	1.0	346
nat_448d52f7c380acd65350	reference	PF00741.24	PF00741	Gas_vesicle	10	48	54.44804000854492	7.180947011035002e-16	1	39	39	1.0	346
nat_45b0f1ea69baf732de14	reference	PF00741.24	PF00741	Gas_vesicle	19	57	43.66585159301758	1.6804990679420584e-12	1	39	39	1.0	346
nat_45d8bf8bea0b0845fea0	reference	PF00741.24	PF00741	Gas_vesicle	22	60	50.54680633544922	1.189195027105489e-14	2	39	39	0.9743589743589743	346
nat_461115b7000bfd74f566	reference	PF00741.24	PF00741	Gas_vesicle	12	50	58.32884216308594	4.400427531094849e-17	1	39	39	1.0	346
nat_47270a133b8b28fe68b5	reference	PF00741.24	PF00741	Gas_vesicle	19	57	47.36163330078125	1.1764332043569076e-13	1	39	39	1.0	346
nat_476885d73f2103224b29	reference	PF00741.24	PF00741	Gas_vesicle	11	49	57.125823974609375	1.0457268811069554e-16	1	39	39	1.0	346
nat_47c6d3995b8146f9e99e	reference	PF00741.24	PF00741	Gas_vesicle	19	57	43.163753509521484	2.411768782453336e-12	1	39	39	1.0	346
nat_48a350d902c4c631f095	reference	PF00741.24	PF00741	Gas_vesicle	19	57	43.38600158691406	2.0553547942817825e-12	1	39	39	1.0	346
nat_48f4fc548c0153a5775e	reference	PF00741.24	PF00741	Gas_vesicle	13	51	59.061397552490234	2.5976663089912088e-17	1	39	39	1.0	346
nat_495c2735bcdc48076ab6	reference	PF00741.24	PF00741	Gas_vesicle	28	66	52.29283142089844	3.385703797920191e-15	2	39	39	0.9743589743589743	346
nat_49cef355c6ba3187ae5c	reference	PF00741.24	PF00741	Gas_vesicle	8	46	50.87236785888672	9.40850158929796e-15	2	39	39	0.9743589743589743	346
nat_49d3875a5ef4bbb644f9	reference	PF00741.24	PF00741	Gas_vesicle	13	51	59.09444808959961	2.5366211687485514e-17	1	39	39	1.0	346
nat_4a610b8daff21e476288	reference	PF00741.24	PF00741	Gas_vesicle	10	48	54.422508239746094	7.314084608216005e-16	1	39	39	1.0	346
nat_4a87fc740463a61b2d05	reference	PF00741.24	PF00741	Gas_vesicle	16	54	50.22267532348633	1.5015461851824244e-14	1	39	39	1.0	346
nat_4a95098f433ac14617bc	reference	PF00741.24	PF00741	Gas_vesicle	24	62	52.369075775146484	3.2049691531542898e-15	2	39	39	0.9743589743589743	346
nat_4b01b5214abfe7d6396a	reference	PF00741.24	PF00741	Gas_vesicle	19	57	43.196468353271484	2.3556611459477875e-12	1	39	39	1.0	346
nat_4b3cb9501939449bf9be	reference	PF00741.24	PF00741	Gas_vesicle	20	58	42.84749984741211	3.0280269605727102e-12	1	39	39	1.0	346
nat_4b58b860e36e01bdb682	reference	PF00741.24	PF00741	Gas_vesicle	12	50	59.09444808959961	2.5366211687485514e-17	1	39	39	1.0	346
nat_4b655799ef9e19953b56	reference	PF00741.24	PF00741	Gas_vesicle	22	60	51.92261505126953	4.4191168729490986e-15	2	39	39	0.9743589743589743	346
nat_4cea385a8794a0b112c3	reference	PF00741.24	PF00741	Gas_vesicle	11	49	59.93069839477539	1.3897642801072327e-17	1	39	39	1.0	346
nat_4d4e00d31d935ed0527d	reference	PF00741.24	PF00741	Gas_vesicle	12	50	56.43637466430664	1.7173540659353898e-16	1	39	39	1.0	346
nat_4d627ec7ce40cceb1d25	reference	PF00741.24	PF00741	Gas_vesicle	8	46	57.177093505859375	1.0078534497122929e-16	1	39	39	1.0	346
nat_4d722634e257d2a7d133	reference	PF00741.24	PF00741	Gas_vesicle	12	50	59.164573669433594	2.411806837361581e-17	1	39	39	1.0	346
nat_4dc9c1477d3d6b181da7	reference	PF00741.24	PF00741	Gas_vesicle	12	50	59.09444808959961	2.5366211687485514e-17	1	39	39	1.0	346
nat_4e9e86277af05dbd050d	reference	PF00741.24	PF00741	Gas_vesicle	11	49	59.93069839477539	1.3897642801072327e-17	1	39	39	1.0	346
nat_4f76b230eb60279eb5dd	reference	PF00741.24	PF00741	Gas_vesicle	12	50	59.89714813232422	1.4237215227964452e-17	1	39	39	1.0	346
nat_4f811102c58fb8e77080	reference	PF00741.24	PF00741	Gas_vesicle	8	46	57.61296463012695	7.365374412906846e-17	1	39	39	1.0	346
nat_505ccb0a3946a89f0437	reference	PF00741.24	PF00741	Gas_vesicle	11	49	59.50096130371094	1.8933326254437453e-17	1	39	39	1.0	346
nat_51872cd8b900b7db59b4	reference	PF00741.24	PF00741	Gas_vesicle	22	60	43.80154037475586	1.524185280499629e-12	1	39	39	1.0	346
nat_53979ea823175001b77b	reference	PF00741.24	PF00741	Gas_vesicle	10	48	55.5906867980957	3.1559011560299516e-16	1	39	39	1.0	346
nat_5577d4ac8367231fcec5	reference	PF00741.24	PF00741	Gas_vesicle	10	48	52.4197998046875	3.0901063672324017e-15	1	39	39	1.0	346
nat_55802cc1c7918b91c298	reference	PF00741.24	PF00741	Gas_vesicle	7	45	43.81118392944336	1.5136459770306446e-12	1	39	39	1.0	346
nat_57c2b381c8bb4035d01c	reference	PF00741.24	PF00741	Gas_vesicle	21	59	48.707820892333984	4.465867062614645e-14	2	39	39	0.9743589743589743	346
nat_5883761e33f67abd193e	reference	PF00741.24	PF00741	Gas_vesicle	11	49	57.03480911254883	1.11650049393526e-16	1	39	39	1.0	346
nat_5bc7120641a4b206dec6	reference	PF00741.24	PF00741	Gas_vesicle	11	49	55.72395706176758	2.867336260667653e-16	1	39	39	1.0	346
nat_5c03f7861ccf36dc0533	reference	PF00741.24	PF00741	Gas_vesicle	10	48	54.842220306396484	5.407628667672178e-16	1	39	39	1.0	346
nat_5c045ab07969cb21b0ad	reference	PF00741.24	PF00741	Gas_vesicle	20	58	43.98085403442383	1.3396927082709455e-12	2	39	39	0.9743589743589743	346
nat_5d20f105b230fcb464d1	reference	PF00741.24	PF00741	Gas_vesicle	8	46	52.83547592163086	2.2912974862834992e-15	1	39	39	1.0	346
nat_5d40201e59780a4578e1	reference	PF00741.24	PF00741	Gas_vesicle	12	50	58.361873626708984	4.297076486255081e-17	1	39	39	1.0	346
nat_5d7c3d0594612da43ea2	reference	PF00741.24	PF00741	Gas_vesicle	25	63	52.34972381591797	3.2499076706366423e-15	2	39	39	0.9743589743589743	346
nat_5fb53d83d56d48c68c10	reference	PF00741.24	PF00741	Gas_vesicle	11	49	61.93003463745117	3.297474538581751e-18	1	39	39	1.0	346
nat_5ff91e8d3cfc9ac60d0d	reference	PF00741.24	PF00741	Gas_vesicle	11	49	54.615821838378906	6.364329548771451e-16	1	39	39	1.0	346
nat_619107fa48650be1a768	reference	PF00741.24	PF00741	Gas_vesicle	19	57	43.147666931152344	2.439846255704729e-12	1	39	39	1.0	346
nat_61a382d08777524701b3	reference	PF00741.24	PF00741	Gas_vesicle	8	46	54.95024490356445	5.003235572495518e-16	1	39	39	1.0	346
nat_62b65b4bdaad5382b6fd	reference	PF00741.24	PF00741	Gas_vesicle	10	48	54.45231628417969	7.158886157825121e-16	1	39	39	1.0	346
nat_62bc5089576517d5fad1	reference	PF00741.24	PF00741	Gas_vesicle	10	48	59.96483612060547	1.3560436435978749e-17	1	39	39	1.0	346
nat_63e94d96149b61e3547f	reference	PF00741.24	PF00741	Gas_vesicle	10	48	55.30849838256836	3.86636304755091e-16	1	39	39	1.0	346
nat_644a625ed987b37152d8	reference	PF00741.24	PF00741	Gas_vesicle	10	48	51.61982345581055	5.494812548414327e-15	1	39	39	1.0	346
nat_64b87c36790fe3acd4ba	reference	PF00741.24	PF00741	Gas_vesicle	11	49	59.13195037841797	2.469089109661456e-17	1	39	39	1.0	346
nat_65c51b0fd105cce694ee	reference	PF00741.24	PF00741	Gas_vesicle	19	57	44.73076248168945	7.810361525778246e-13	1	39	39	1.0	346
nat_6681febe116459c77b18	reference	PF00741.24	PF00741	Gas_vesicle	12	50	57.20246887207031	9.896189480399255e-17	1	39	39	1.0	346
nat_67d45ce3d0daa27e3aa3	reference	PF00741.24	PF00741	Gas_vesicle	19	57	43.147666931152344	2.439846255704729e-12	1	39	39	1.0	346
nat_67dd37821af98e87666e	reference	PF00741.24	PF00741	Gas_vesicle	13	51	58.32884216308594	4.400427531094849e-17	1	39	39	1.0	346
nat_69442765a7e1224b0435	reference	PF00741.24	PF00741	Gas_vesicle	13	51	59.061397552490234	2.5976663089912088e-17	1	39	39	1.0	346
nat_6b2c0d4d7468a9bb7cde	reference	PF00741.24	PF00741	Gas_vesicle	12	50	57.20246887207031	9.896189480399255e-17	1	39	39	1.0	346
nat_6b39f5a7fb6bca78b4de	reference	PF00741.24	PF00741	Gas_vesicle	11	49	57.315757751464844	9.121517389340964e-17	1	39	39	1.0	346
nat_6b94719ca1a990ee1d8f	reference	PF00741.24	PF00741	Gas_vesicle	10	48	55.41734313964844	3.5751184466323713e-16	1	39	39	1.0	346
nat_6bd198e130544a8380c7	reference	PF00741.24	PF00741	Gas_vesicle	19	57	41.90968322753906	5.9458234274651894e-12	1	39	39	1.0	346
nat_6cb2a4a67fad0b3f22b1	reference	PF00741.24	PF00741	Gas_vesicle	10	48	54.54850387573242	6.680183859611616e-16	1	39	39	1.0	346
nat_6d257d8cbeb3f3af448a	reference	PF00741.24	PF00741	Gas_vesicle	16	54	42.635520935058594	3.52695291235497e-12	1	39	39	1.0	346
nat_6dc60142a293ec7c6dcb	reference	PF00741.24	PF00741	Gas_vesicle	10	48	55.943153381347656	2.4489695315590023e-16	1	39	39	1.0	346
nat_6ec46415f5fc553cea18	reference	PF00741.24	PF00741	Gas_vesicle	19	57	43.58063888549805	1.7867584539032022e-12	1	39	39	1.0	346
nat_6ee0ebbf185af1c7d346	reference	PF00741.24	PF00741	Gas_vesicle	22	60	54.21813201904297	8.472746010269409e-16	1	39	39	1.0	346
nat_70cf8e4638ff311302cb	reference	PF00741.24	PF00741	Gas_vesicle	19	57	43.33766174316406	2.1281008566355228e-12	1	39	39	1.0	346
nat_718f9add2c10ca08b4a5	reference	PF00741.24	PF00741	Gas_vesicle	10	48	57.17831039428711	1.0069713841093655e-16	1	39	39	1.0	346
nat_729a9790a662e92ab379	reference	PF00741.24	PF00741	Gas_vesicle	13	51	59.860137939453125	1.4621439346570726e-17	1	39	39	1.0	346
nat_73e0b5aa88a198c56cae	reference	PF00741.24	PF00741	Gas_vesicle	10	48	59.44950485229492	1.9647450958696528e-17	1	39	39	1.0	346
nat_747d60b2bd9f9baa6cfc	reference	PF00741.24	PF00741	Gas_vesicle	22	60	42.235374450683594	4.703691792257934e-12	1	39	39	1.0	346
nat_74aacbad701be1598660	reference	PF00741.24	PF00741	Gas_vesicle	12	50	56.43637466430664	1.7173540659353898e-16	1	39	39	1.0	346
nat_754029d7fdddcf0dda8b	reference	PF00741.24	PF00741	Gas_vesicle	19	57	45.19722366333008	5.583540738828056e-13	1	39	39	1.0	346
nat_75679c0d4db585656573	reference	PF00741.24	PF00741	Gas_vesicle	12	50	59.58272171020508	1.7851640659810232e-17	1	39	39	1.0	346
nat_76418c5d471b2873e6bf	reference	PF00741.24	PF00741	Gas_vesicle	10	48	55.34700012207031	3.760724081079409e-16	1	39	39	1.0	346
nat_766d45336d56f5b42f24	reference	PF00741.24	PF00741	Gas_vesicle	8	46	53.588104248046875	1.3332067521535982e-15	1	39	39	1.0	346
nat_78005b3dddedd0251b7e	reference	PF00741.24	PF00741	Gas_vesicle	12	50	59.09444808959961	2.5366211687485514e-17	1	39	39	1.0	346
nat_7801d96d034213cf08c8	reference	PF00741.24	PF00741	Gas_vesicle	10	48	56.29977798461914	1.8947157207964362e-16	1	39	39	1.0	346
nat_7b9e043074608d733fa7	reference	PF00741.24	PF00741	Gas_vesicle	19	57	44.296566009521484	1.0674570101028708e-12	1	39	39	1.0	346
